Sr_no,Marks,Code
1.0,284.0,440801
2.0,114.0,440801
3.0,309.0,440801
4.0,110.0,440801
5.0,51.0,440801
6.0,259.0,440801
7.0,33.0,440801
8.0,244.0,440801
9.0,115.0,440801
10.0,356.0,440801
11.0,136.0,440801
12.0,300.0,440801
13.0,74.0,440801
14.0,158.0,440801
15.0,389.0,440801
16.0,248.0,440801
17.0,-20.0,440801
18.0,615.0,440801
19.0,284.0,440801
20.0,72.0,440801
21.0,528.0,440801
22.0,176.0,440801
23.0,119.0,440801
24.0,640.0,440801
25.0,212.0,440801
26.0,185.0,440801
27.0,600.0,440801
28.0,217.0,440801
29.0,52.0,440801
30.0,348.0,440801
301.0,665.0,440801
302.0,123.0,440801
303.0,70.0,440801
304.0,92.0,440801
305.0,605.0,440801
306.0,517.0,440801
307.0,39.0,440801
308.0,140.0,440801
309.0,87.0,440801
310.0,20.0,440801
311.0,163.0,440801
312.0,343.0,440801
313.0,720.0,440801
314.0,482.0,440801
315.0,420.0,440801
316.0,112.0,440801
317.0,73.0,440801
318.0,280.0,440801
319.0,177.0,440801
320.0,347.0,440801
321.0,279.0,440801
322.0,117.0,440801
323.0,334.0,440801
324.0,249.0,440801
325.0,347.0,440801
326.0,27.0,440801
327.0,242.0,440801
328.0,106.0,440801
329.0,160.0,440801
330.0,109.0,440801
601.0,70.0,440801
602.0,369.0,440801
603.0,113.0,440801
604.0,429.0,440801
605.0,285.0,440801
606.0,70.0,440801
607.0,593.0,440801
608.0,516.0,440801
609.0,118.0,440801
610.0,223.0,440801
611.0,455.0,440801
612.0,386.0,440801
613.0,170.0,440801
614.0,72.0,440801
615.0,223.0,440801
616.0,392.0,440801
617.0,100.0,440801
618.0,516.0,440801
619.0,202.0,440801
620.0,686.0,440801
621.0,141.0,440801
622.0,126.0,440801
623.0,234.0,440801
624.0,61.0,440801
625.0,486.0,440801
626.0,329.0,440801
627.0,46.0,440801
628.0,99.0,440801
629.0,247.0,440801
630.0,25.0,440801
901.0,108.0,440801
902.0,226.0,440801
903.0,59.0,440801
904.0,440.0,440801
905.0,56.0,440801
