Sr_no,Marks,Code
1.0,60.0,430106
2.0,57.0,430106
3.0,141.0,430106
4.0,54.0,430106
5.0,26.0,430106
6.0,168.0,430106
7.0,259.0,430106
8.0,125.0,430106
9.0,23.0,430106
10.0,3.0,430106
11.0,58.0,430106
12.0,138.0,430106
13.0,85.0,430106
14.0,341.0,430106
15.0,618.0,430106
16.0,29.0,430106
17.0,69.0,430106
18.0,46.0,430106
19.0,157.0,430106
20.0,61.0,430106
21.0,244.0,430106
22.0,69.0,430106
23.0,90.0,430106
24.0,60.0,430106
25.0,47.0,430106
26.0,87.0,430106
27.0,197.0,430106
28.0,156.0,430106
29.0,12.0,430106
30.0,56.0,430106
301.0,133.0,430106
302.0,418.0,430106
303.0,25.0,430106
304.0,63.0,430106
305.0,286.0,430106
306.0,174.0,430106
307.0,73.0,430106
308.0,69.0,430106
309.0,658.0,430106
310.0,465.0,430106
311.0,35.0,430106
312.0,76.0,430106
313.0,47.0,430106
314.0,253.0,430106
315.0,157.0,430106
316.0,67.0,430106
317.0,407.0,430106
318.0,65.0,430106
319.0,86.0,430106
320.0,83.0,430106
321.0,120.0,430106
322.0,79.0,430106
323.0,102.0,430106
324.0,204.0,430106
325.0,26.0,430106
326.0,156.0,430106
327.0,102.0,430106
328.0,59.0,430106
329.0,33.0,430106
330.0,52.0,430106
31.0,135.0,430106
32.0,108.0,430106
33.0,166.0,430106
34.0,19.0,430106
35.0,76.0,430106
36.0,51.0,430106
37.0,80.0,430106
38.0,69.0,430106
39.0,146.0,430106
40.0,88.0,430106
41.0,45.0,430106
42.0,413.0,430106
43.0,217.0,430106
44.0,660.0,430106
45.0,72.0,430106
46.0,116.0,430106
47.0,364.0,430106
48.0,96.0,430106
49.0,62.0,430106
50.0,34.0,430106
51.0,65.0,430106
52.0,257.0,430106
53.0,55.0,430106
54.0,107.0,430106
55.0,161.0,430106
56.0,46.0,430106
57.0,83.0,430106
58.0,95.0,430106
59.0,58.0,430106
60.0,51.0,430106
331.0,80.0,430106
332.0,184.0,430106
333.0,30.0,430106
334.0,135.0,430106
335.0,85.0,430106
336.0,136.0,430106
337.0,106.0,430106
338.0,483.0,430106
339.0,35.0,430106
340.0,147.0,430106
341.0,104.0,430106
342.0,158.0,430106
343.0,55.0,430106
344.0,30.0,430106
345.0,90.0,430106
