Sr_no,Marks,Code
1.0,113.0,271314
2.0,255.0,271314
3.0,70.0,271314
4.0,340.0,271314
5.0,99.0,271314
6.0,43.0,271314
7.0,123.0,271314
8.0,92.0,271314
9.0,97.0,271314
10.0,27.0,271314
11.0,132.0,271314
12.0,460.0,271314
13.0,68.0,271314
14.0,266.0,271314
15.0,177.0,271314
16.0,141.0,271314
17.0,75.0,271314
18.0,504.0,271314
19.0,130.0,271314
20.0,91.0,271314
21.0,305.0,271314
22.0,95.0,271314
23.0,250.0,271314
24.0,200.0,271314
25.0,26.0,271314
26.0,300.0,271314
27.0,374.0,271314
28.0,571.0,271314
29.0,379.0,271314
30.0,149.0,271314
31.0,474.0,271314
32.0,75.0,271314
33.0,226.0,271314
34.0,36.0,271314
35.0,507.0,271314
36.0,83.0,271314
37.0,210.0,271314
38.0,203.0,271314
39.0,376.0,271314
40.0,219.0,271314
41.0,76.0,271314
42.0,60.0,271314
43.0,59.0,271314
44.0,341.0,271314
45.0,444.0,271314
46.0,104.0,271314
47.0,45.0,271314
48.0,141.0,271314
49.0,174.0,271314
50.0,247.0,271314
51.0,280.0,271314
52.0,41.0,271314
53.0,504.0,271314
54.0,35.0,271314
55.0,154.0,271314
56.0,251.0,271314
57.0,80.0,271314
58.0,35.0,271314
59.0,134.0,271314
60.0,387.0,271314
61.0,363.0,271314
62.0,60.0,271314
63.0,240.0,271314
64.0,92.0,271314
65.0,339.0,271314
66.0,76.0,271314
67.0,112.0,271314
68.0,200.0,271314
69.0,126.0,271314
70.0,528.0,271314
71.0,224.0,271314
72.0,134.0,271314
73.0,34.0,271314
74.0,52.0,271314
75.0,507.0,271314
76.0,134.0,271314
77.0,254.0,271314
78.0,346.0,271314
79.0,82.0,271314
80.0,80.0,271314
81.0,612.0,271314
82.0,5.0,271314
83.0,136.0,271314
84.0,207.0,271314
85.0,129.0,271314
86.0,135.0,271314
87.0,87.0,271314
88.0,104.0,271314
89.0,56.0,271314
90.0,65.0,271314
91.0,609.0,271314
92.0,239.0,271314
93.0,94.0,271314
94.0,221.0,271314
95.0,254.0,271314
96.0,77.0,271314
97.0,557.0,271314
98.0,206.0,271314
99.0,197.0,271314
100.0,62.0,271314
101.0,57.0,271314
102.0,407.0,271314
103.0,355.0,271314
104.0,395.0,271314
105.0,7.0,271314
106.0,384.0,271314
107.0,288.0,271314
108.0,597.0,271314
109.0,228.0,271314
110.0,35.0,271314
111.0,152.0,271314
112.0,20.0,271314
113.0,118.0,271314
114.0,155.0,271314
115.0,71.0,271314
116.0,374.0,271314
117.0,580.0,271314
118.0,203.0,271314
119.0,65.0,271314
120.0,136.0,271314
121.0,60.0,271314
122.0,215.0,271314
123.0,682.0,271314
124.0,102.0,271314
125.0,62.0,271314
126.0,223.0,271314
127.0,556.0,271314
128.0,579.0,271314
129.0,63.0,271314
130.0,602.0,271314
131.0,60.0,271314
132.0,356.0,271314
133.0,382.0,271314
134.0,74.0,271314
135.0,41.0,271314
136.0,313.0,271314
137.0,375.0,271314
138.0,178.0,271314
139.0,344.0,271314
140.0,560.0,271314
141.0,432.0,271314
142.0,479.0,271314
143.0,39.0,271314
144.0,-22.0,271314
145.0,156.0,271314
146.0,30.0,271314
147.0,319.0,271314
148.0,680.0,271314
149.0,234.0,271314
150.0,482.0,271314
151.0,86.0,271314
152.0,281.0,271314
153.0,54.0,271314
154.0,523.0,271314
155.0,-5.0,271314
156.0,536.0,271314
157.0,120.0,271314
158.0,39.0,271314
159.0,101.0,271314
160.0,40.0,271314
161.0,541.0,271314
162.0,171.0,271314
163.0,195.0,271314
164.0,72.0,271314
165.0,69.0,271314
166.0,168.0,271314
167.0,253.0,271314
168.0,8.0,271314
169.0,23.0,271314
170.0,130.0,271314
171.0,270.0,271314
172.0,496.0,271314
173.0,215.0,271314
174.0,46.0,271314
175.0,347.0,271314
176.0,45.0,271314
177.0,338.0,271314
178.0,86.0,271314
179.0,264.0,271314
180.0,85.0,271314
181.0,484.0,271314
182.0,102.0,271314
183.0,154.0,271314
184.0,180.0,271314
185.0,162.0,271314
186.0,291.0,271314
187.0,44.0,271314
188.0,325.0,271314
189.0,117.0,271314
190.0,475.0,271314
191.0,90.0,271314
192.0,221.0,271314
193.0,91.0,271314
194.0,550.0,271314
