Sr_no,Marks,Code
1.0,190.0,410115
2.0,91.0,410115
3.0,177.0,410115
4.0,524.0,410115
5.0,416.0,410115
6.0,335.0,410115
7.0,378.0,410115
8.0,122.0,410115
9.0,345.0,410115
10.0,196.0,410115
11.0,178.0,410115
12.0,196.0,410115
13.0,350.0,410115
14.0,106.0,410115
15.0,162.0,410115
16.0,137.0,410115
17.0,456.0,410115
18.0,269.0,410115
19.0,252.0,410115
20.0,392.0,410115
21.0,351.0,410115
22.0,70.0,410115
23.0,79.0,410115
24.0,527.0,410115
25.0,680.0,410115
26.0,271.0,410115
27.0,117.0,410115
28.0,298.0,410115
29.0,420.0,410115
30.0,472.0,410115
301.0,216.0,410115
302.0,528.0,410115
303.0,62.0,410115
304.0,120.0,410115
305.0,152.0,410115
306.0,302.0,410115
307.0,77.0,410115
308.0,291.0,410115
309.0,137.0,410115
310.0,268.0,410115
311.0,25.0,410115
312.0,504.0,410115
313.0,34.0,410115
314.0,246.0,410115
315.0,92.0,410115
316.0,152.0,410115
317.0,170.0,410115
318.0,298.0,410115
319.0,574.0,410115
320.0,271.0,410115
321.0,192.0,410115
322.0,254.0,410115
323.0,131.0,410115
324.0,59.0,410115
325.0,182.0,410115
326.0,169.0,410115
327.0,99.0,410115
328.0,191.0,410115
329.0,82.0,410115
330.0,140.0,410115
601.0,45.0,410115
602.0,337.0,410115
603.0,110.0,410115
604.0,393.0,410115
605.0,241.0,410115
606.0,60.0,410115
607.0,136.0,410115
608.0,317.0,410115
609.0,-38.0,410115
610.0,363.0,410115
611.0,204.0,410115
612.0,125.0,410115
613.0,590.0,410115
614.0,224.0,410115
615.0,277.0,410115
616.0,130.0,410115
617.0,552.0,410115
618.0,171.0,410115
619.0,98.0,410115
620.0,148.0,410115
621.0,99.0,410115
622.0,610.0,410115
623.0,628.0,410115
624.0,212.0,410115
625.0,133.0,410115
626.0,145.0,410115
627.0,401.0,410115
628.0,145.0,410115
629.0,442.0,410115
630.0,549.0,410115
31.0,190.0,410115
32.0,68.0,410115
33.0,637.0,410115
34.0,224.0,410115
35.0,239.0,410115
36.0,463.0,410115
37.0,484.0,410115
38.0,538.0,410115
39.0,65.0,410115
40.0,597.0,410115
41.0,333.0,410115
42.0,242.0,410115
43.0,382.0,410115
44.0,358.0,410115
45.0,55.0,410115
46.0,62.0,410115
47.0,247.0,410115
48.0,436.0,410115
49.0,203.0,410115
50.0,334.0,410115
51.0,120.0,410115
52.0,123.0,410115
53.0,478.0,410115
54.0,469.0,410115
55.0,582.0,410115
56.0,105.0,410115
57.0,497.0,410115
58.0,171.0,410115
59.0,122.0,410115
60.0,60.0,410115
331.0,274.0,410115
332.0,357.0,410115
333.0,40.0,410115
334.0,357.0,410115
335.0,217.0,410115
336.0,88.0,410115
337.0,553.0,410115
338.0,488.0,410115
339.0,298.0,410115
340.0,75.0,410115
341.0,153.0,410115
342.0,89.0,410115
343.0,358.0,410115
344.0,100.0,410115
345.0,121.0,410115
346.0,133.0,410115
347.0,120.0,410115
348.0,218.0,410115
349.0,559.0,410115
350.0,320.0,410115
351.0,134.0,410115
352.0,111.0,410115
353.0,61.0,410115
354.0,512.0,410115
355.0,90.0,410115
356.0,194.0,410115
357.0,172.0,410115
358.0,332.0,410115
359.0,151.0,410115
360.0,411.0,410115
631.0,66.0,410115
632.0,480.0,410115
633.0,590.0,410115
634.0,61.0,410115
635.0,463.0,410115
636.0,668.0,410115
637.0,310.0,410115
638.0,472.0,410115
639.0,301.0,410115
640.0,111.0,410115
641.0,218.0,410115
642.0,194.0,410115
643.0,588.0,410115
644.0,214.0,410115
645.0,281.0,410115
646.0,15.0,410115
647.0,257.0,410115
648.0,30.0,410115
649.0,244.0,410115
650.0,160.0,410115
651.0,69.0,410115
652.0,60.0,410115
653.0,90.0,410115
654.0,153.0,410115
655.0,350.0,410115
656.0,232.0,410115
657.0,263.0,410115
658.0,575.0,410115
659.0,175.0,410115
660.0,312.0,410115
61.0,140.0,410115
62.0,479.0,410115
63.0,534.0,410115
64.0,171.0,410115
65.0,275.0,410115
66.0,92.0,410115
67.0,495.0,410115
68.0,451.0,410115
69.0,189.0,410115
70.0,270.0,410115
71.0,443.0,410115
72.0,108.0,410115
73.0,198.0,410115
74.0,426.0,410115
75.0,515.0,410115
76.0,93.0,410115
77.0,341.0,410115
78.0,110.0,410115
79.0,403.0,410115
80.0,108.0,410115
81.0,248.0,410115
82.0,121.0,410115
83.0,333.0,410115
84.0,110.0,410115
85.0,511.0,410115
86.0,184.0,410115
87.0,133.0,410115
88.0,354.0,410115
89.0,120.0,410115
90.0,77.0,410115
361.0,345.0,410115
362.0,125.0,410115
363.0,487.0,410115
364.0,295.0,410115
365.0,457.0,410115
366.0,201.0,410115
367.0,73.0,410115
368.0,381.0,410115
369.0,538.0,410115
370.0,318.0,410115
371.0,166.0,410115
372.0,182.0,410115
373.0,90.0,410115
374.0,156.0,410115
375.0,291.0,410115
376.0,238.0,410115
377.0,430.0,410115
378.0,64.0,410115
379.0,135.0,410115
380.0,138.0,410115
381.0,192.0,410115
382.0,102.0,410115
383.0,267.0,410115
384.0,375.0,410115
385.0,49.0,410115
386.0,345.0,410115
387.0,74.0,410115
388.0,106.0,410115
389.0,551.0,410115
390.0,116.0,410115
91.0,535.0,410115
92.0,484.0,410115
93.0,44.0,410115
94.0,30.0,410115
95.0,32.0,410115
96.0,214.0,410115
97.0,118.0,410115
98.0,159.0,410115
99.0,239.0,410115
100.0,643.0,410115
101.0,523.0,410115
102.0,281.0,410115
103.0,125.0,410115
104.0,124.0,410115
105.0,35.0,410115
106.0,567.0,410115
107.0,214.0,410115
108.0,72.0,410115
109.0,391.0,410115
110.0,456.0,410115
111.0,611.0,410115
112.0,150.0,410115
113.0,113.0,410115
114.0,151.0,410115
115.0,158.0,410115
116.0,306.0,410115
117.0,500.0,410115
118.0,90.0,410115
119.0,61.0,410115
120.0,172.0,410115
391.0,330.0,410115
392.0,639.0,410115
393.0,120.0,410115
394.0,261.0,410115
395.0,201.0,410115
396.0,107.0,410115
397.0,420.0,410115
398.0,193.0,410115
399.0,633.0,410115
400.0,421.0,410115
401.0,234.0,410115
402.0,265.0,410115
403.0,285.0,410115
404.0,359.0,410115
405.0,322.0,410115
406.0,225.0,410115
407.0,529.0,410115
408.0,328.0,410115
409.0,158.0,410115
410.0,98.0,410115
411.0,233.0,410115
412.0,70.0,410115
413.0,217.0,410115
414.0,271.0,410115
415.0,35.0,410115
416.0,296.0,410115
417.0,329.0,410115
418.0,172.0,410115
419.0,584.0,410115
420.0,298.0,410115
121.0,310.0,410115
122.0,287.0,410115
123.0,205.0,410115
124.0,380.0,410115
125.0,127.0,410115
126.0,278.0,410115
127.0,623.0,410115
128.0,571.0,410115
129.0,110.0,410115
130.0,512.0,410115
131.0,254.0,410115
132.0,229.0,410115
133.0,436.0,410115
134.0,23.0,410115
135.0,248.0,410115
136.0,411.0,410115
137.0,298.0,410115
138.0,78.0,410115
139.0,90.0,410115
140.0,132.0,410115
141.0,309.0,410115
142.0,154.0,410115
143.0,510.0,410115
144.0,79.0,410115
145.0,368.0,410115
146.0,375.0,410115
147.0,252.0,410115
148.0,160.0,410115
149.0,240.0,410115
150.0,190.0,410115
421.0,149.0,410115
422.0,205.0,410115
423.0,237.0,410115
424.0,242.0,410115
425.0,427.0,410115
426.0,313.0,410115
427.0,82.0,410115
428.0,114.0,410115
429.0,86.0,410115
430.0,164.0,410115
431.0,115.0,410115
432.0,42.0,410115
433.0,325.0,410115
434.0,55.0,410115
435.0,74.0,410115
436.0,513.0,410115
437.0,615.0,410115
438.0,380.0,410115
439.0,91.0,410115
440.0,479.0,410115
441.0,121.0,410115
442.0,428.0,410115
443.0,309.0,410115
444.0,52.0,410115
445.0,324.0,410115
446.0,318.0,410115
447.0,525.0,410115
448.0,602.0,410115
