Sr_no,Marks,Code
1.0,64.0,310613
2.0,72.0,310613
3.0,199.0,310613
4.0,237.0,310613
5.0,382.0,310613
6.0,127.0,310613
7.0,90.0,310613
8.0,278.0,310613
9.0,258.0,310613
10.0,318.0,310613
11.0,307.0,310613
12.0,209.0,310613
13.0,146.0,310613
14.0,164.0,310613
15.0,113.0,310613
16.0,200.0,310613
17.0,157.0,310613
18.0,123.0,310613
19.0,77.0,310613
20.0,94.0,310613
21.0,341.0,310613
22.0,345.0,310613
23.0,225.0,310613
24.0,75.0,310613
25.0,76.0,310613
26.0,407.0,310613
27.0,173.0,310613
28.0,177.0,310613
29.0,133.0,310613
30.0,383.0,310613
31.0,46.0,310613
32.0,177.0,310613
33.0,34.0,310613
34.0,130.0,310613
35.0,295.0,310613
36.0,143.0,310613
37.0,501.0,310613
38.0,132.0,310613
39.0,-5.0,310613
40.0,325.0,310613
41.0,147.0,310613
42.0,244.0,310613
43.0,200.0,310613
44.0,303.0,310613
45.0,36.0,310613
46.0,35.0,310613
47.0,-10.0,310613
48.0,250.0,310613
49.0,353.0,310613
50.0,158.0,310613
51.0,105.0,310613
52.0,178.0,310613
53.0,29.0,310613
54.0,38.0,310613
55.0,461.0,310613
56.0,489.0,310613
57.0,292.0,310613
58.0,232.0,310613
59.0,328.0,310613
60.0,24.0,310613
61.0,99.0,310613
62.0,65.0,310613
63.0,263.0,310613
64.0,112.0,310613
65.0,100.0,310613
66.0,56.0,310613
67.0,34.0,310613
68.0,197.0,310613
69.0,117.0,310613
70.0,47.0,310613
71.0,399.0,310613
72.0,-5.0,310613
73.0,76.0,310613
74.0,60.0,310613
75.0,201.0,310613
76.0,91.0,310613
77.0,278.0,310613
78.0,346.0,310613
79.0,53.0,310613
80.0,95.0,310613
81.0,59.0,310613
82.0,87.0,310613
83.0,27.0,310613
84.0,302.0,310613
85.0,110.0,310613
86.0,90.0,310613
87.0,102.0,310613
88.0,37.0,310613
89.0,75.0,310613
90.0,77.0,310613
91.0,454.0,310613
92.0,134.0,310613
93.0,128.0,310613
94.0,82.0,310613
95.0,171.0,310613
96.0,57.0,310613
97.0,67.0,310613
98.0,24.0,310613
99.0,363.0,310613
100.0,41.0,310613
101.0,20.0,310613
102.0,56.0,310613
103.0,50.0,310613
104.0,53.0,310613
105.0,418.0,310613
106.0,29.0,310613
107.0,115.0,310613
108.0,231.0,310613
109.0,140.0,310613
110.0,229.0,310613
111.0,91.0,310613
112.0,93.0,310613
113.0,521.0,310613
114.0,284.0,310613
115.0,120.0,310613
116.0,67.0,310613
117.0,155.0,310613
118.0,45.0,310613
119.0,442.0,310613
120.0,149.0,310613
121.0,28.0,310613
122.0,17.0,310613
123.0,231.0,310613
124.0,380.0,310613
125.0,77.0,310613
126.0,336.0,310613
127.0,149.0,310613
128.0,78.0,310613
129.0,47.0,310613
130.0,33.0,310613
131.0,129.0,310613
132.0,76.0,310613
133.0,368.0,310613
134.0,201.0,310613
135.0,417.0,310613
136.0,167.0,310613
137.0,50.0,310613
138.0,55.0,310613
139.0,116.0,310613
140.0,214.0,310613
141.0,246.0,310613
142.0,84.0,310613
143.0,336.0,310613
144.0,426.0,310613
145.0,115.0,310613
146.0,169.0,310613
147.0,79.0,310613
148.0,366.0,310613
149.0,110.0,310613
150.0,558.0,310613
151.0,134.0,310613
152.0,41.0,310613
153.0,199.0,310613
154.0,11.0,310613
155.0,60.0,310613
156.0,538.0,310613
157.0,193.0,310613
158.0,197.0,310613
159.0,48.0,310613
160.0,4.0,310613
161.0,30.0,310613
162.0,123.0,310613
163.0,66.0,310613
164.0,30.0,310613
165.0,288.0,310613
166.0,573.0,310613
167.0,63.0,310613
168.0,111.0,310613
169.0,100.0,310613
170.0,30.0,310613
171.0,76.0,310613
172.0,44.0,310613
173.0,65.0,310613
174.0,80.0,310613
175.0,258.0,310613
176.0,244.0,310613
177.0,68.0,310613
178.0,200.0,310613
179.0,83.0,310613
180.0,149.0,310613
181.0,47.0,310613
182.0,250.0,310613
183.0,635.0,310613
184.0,132.0,310613
185.0,206.0,310613
186.0,112.0,310613
187.0,83.0,310613
188.0,142.0,310613
189.0,30.0,310613
190.0,433.0,310613
191.0,193.0,310613
192.0,93.0,310613
193.0,245.0,310613
194.0,37.0,310613
195.0,312.0,310613
196.0,28.0,310613
197.0,495.0,310613
198.0,613.0,310613
199.0,92.0,310613
200.0,155.0,310613
201.0,170.0,310613
202.0,62.0,310613
203.0,207.0,310613
204.0,-22.0,310613
205.0,105.0,310613
206.0,-7.0,310613
207.0,17.0,310613
208.0,46.0,310613
209.0,5.0,310613
210.0,46.0,310613
211.0,269.0,310613
212.0,20.0,310613
213.0,29.0,310613
214.0,0.0,310613
215.0,362.0,310613
216.0,60.0,310613
217.0,160.0,310613
218.0,30.0,310613
219.0,33.0,310613
220.0,15.0,310613
221.0,164.0,310613
222.0,72.0,310613
223.0,163.0,310613
224.0,74.0,310613
225.0,222.0,310613
226.0,352.0,310613
227.0,317.0,310613
228.0,145.0,310613
229.0,241.0,310613
230.0,385.0,310613
231.0,45.0,310613
232.0,116.0,310613
233.0,123.0,310613
234.0,13.0,310613
235.0,64.0,310613
236.0,365.0,310613
