Sr_no,Marks,Code
1.0,80.0,150269
2.0,44.0,150269
3.0,1.0,150269
4.0,28.0,150269
5.0,212.0,150269
6.0,47.0,150269
7.0,81.0,150269
8.0,548.0,150269
9.0,500.0,150269
10.0,34.0,150269
11.0,245.0,150269
12.0,39.0,150269
13.0,205.0,150269
14.0,587.0,150269
15.0,45.0,150269
16.0,56.0,150269
17.0,41.0,150269
18.0,65.0,150269
19.0,148.0,150269
20.0,111.0,150269
21.0,157.0,150269
22.0,615.0,150269
23.0,23.0,150269
24.0,54.0,150269
25.0,380.0,150269
26.0,552.0,150269
27.0,605.0,150269
28.0,30.0,150269
29.0,223.0,150269
30.0,387.0,150269
31.0,60.0,150269
32.0,107.0,150269
33.0,69.0,150269
34.0,30.0,150269
35.0,167.0,150269
36.0,251.0,150269
37.0,437.0,150269
38.0,335.0,150269
39.0,324.0,150269
40.0,218.0,150269
41.0,662.0,150269
42.0,371.0,150269
43.0,47.0,150269
44.0,169.0,150269
45.0,47.0,150269
46.0,515.0,150269
47.0,59.0,150269
48.0,142.0,150269
49.0,147.0,150269
50.0,109.0,150269
51.0,64.0,150269
52.0,234.0,150269
53.0,202.0,150269
54.0,121.0,150269
55.0,155.0,150269
56.0,12.0,150269
57.0,603.0,150269
58.0,376.0,150269
59.0,71.0,150269
60.0,90.0,150269
61.0,309.0,150269
62.0,116.0,150269
63.0,84.0,150269
64.0,132.0,150269
65.0,191.0,150269
66.0,290.0,150269
67.0,95.0,150269
68.0,35.0,150269
69.0,72.0,150269
70.0,209.0,150269
71.0,54.0,150269
72.0,54.0,150269
73.0,72.0,150269
74.0,28.0,150269
75.0,110.0,150269
76.0,28.0,150269
77.0,126.0,150269
78.0,11.0,150269
79.0,258.0,150269
80.0,58.0,150269
81.0,666.0,150269
82.0,217.0,150269
83.0,62.0,150269
84.0,31.0,150269
85.0,40.0,150269
86.0,185.0,150269
87.0,105.0,150269
88.0,87.0,150269
89.0,434.0,150269
90.0,83.0,150269
91.0,75.0,150269
92.0,107.0,150269
93.0,80.0,150269
94.0,38.0,150269
95.0,149.0,150269
96.0,171.0,150269
97.0,-10.0,150269
98.0,35.0,150269
99.0,232.0,150269
100.0,266.0,150269
101.0,630.0,150269
102.0,90.0,150269
103.0,205.0,150269
104.0,35.0,150269
105.0,88.0,150269
106.0,65.0,150269
107.0,23.0,150269
108.0,39.0,150269
109.0,50.0,150269
110.0,144.0,150269
111.0,476.0,150269
112.0,313.0,150269
113.0,126.0,150269
114.0,80.0,150269
115.0,62.0,150269
116.0,75.0,150269
117.0,659.0,150269
118.0,401.0,150269
119.0,117.0,150269
120.0,122.0,150269
121.0,424.0,150269
122.0,75.0,150269
123.0,305.0,150269
124.0,50.0,150269
125.0,226.0,150269
126.0,105.0,150269
127.0,230.0,150269
128.0,196.0,150269
129.0,176.0,150269
130.0,398.0,150269
131.0,596.0,150269
132.0,-5.0,150269
133.0,76.0,150269
134.0,88.0,150269
135.0,118.0,150269
136.0,62.0,150269
137.0,114.0,150269
138.0,181.0,150269
139.0,132.0,150269
140.0,119.0,150269
141.0,123.0,150269
142.0,60.0,150269
143.0,108.0,150269
144.0,90.0,150269
145.0,187.0,150269
146.0,585.0,150269
147.0,24.0,150269
148.0,239.0,150269
149.0,35.0,150269
150.0,57.0,150269
151.0,596.0,150269
152.0,358.0,150269
153.0,521.0,150269
154.0,99.0,150269
155.0,159.0,150269
156.0,20.0,150269
157.0,611.0,150269
158.0,112.0,150269
159.0,160.0,150269
160.0,108.0,150269
