Sr_no,Marks,Code
1.0,121.0,150305
2.0,65.0,150305
3.0,126.0,150305
4.0,578.0,150305
5.0,90.0,150305
6.0,85.0,150305
7.0,169.0,150305
8.0,229.0,150305
9.0,73.0,150305
10.0,30.0,150305
11.0,173.0,150305
12.0,75.0,150305
13.0,412.0,150305
14.0,78.0,150305
15.0,156.0,150305
16.0,85.0,150305
17.0,64.0,150305
18.0,172.0,150305
19.0,97.0,150305
20.0,107.0,150305
21.0,51.0,150305
22.0,288.0,150305
23.0,65.0,150305
24.0,476.0,150305
25.0,128.0,150305
26.0,80.0,150305
27.0,80.0,150305
28.0,276.0,150305
29.0,20.0,150305
30.0,53.0,150305
301.0,75.0,150305
302.0,8.0,150305
303.0,360.0,150305
304.0,110.0,150305
305.0,35.0,150305
306.0,19.0,150305
307.0,41.0,150305
308.0,138.0,150305
309.0,83.0,150305
310.0,147.0,150305
311.0,228.0,150305
312.0,120.0,150305
313.0,115.0,150305
314.0,85.0,150305
315.0,107.0,150305
316.0,24.0,150305
317.0,130.0,150305
318.0,50.0,150305
319.0,163.0,150305
320.0,107.0,150305
321.0,39.0,150305
322.0,61.0,150305
323.0,109.0,150305
324.0,46.0,150305
325.0,90.0,150305
326.0,133.0,150305
327.0,37.0,150305
328.0,46.0,150305
329.0,133.0,150305
330.0,116.0,150305
31.0,8.0,150305
32.0,50.0,150305
33.0,61.0,150305
34.0,14.0,150305
35.0,115.0,150305
36.0,308.0,150305
37.0,115.0,150305
38.0,47.0,150305
39.0,76.0,150305
40.0,78.0,150305
41.0,64.0,150305
42.0,134.0,150305
43.0,147.0,150305
44.0,75.0,150305
45.0,110.0,150305
46.0,246.0,150305
47.0,68.0,150305
48.0,83.0,150305
49.0,193.0,150305
50.0,36.0,150305
51.0,35.0,150305
52.0,24.0,150305
53.0,144.0,150305
54.0,575.0,150305
55.0,11.0,150305
56.0,51.0,150305
57.0,75.0,150305
58.0,79.0,150305
59.0,79.0,150305
60.0,74.0,150305
331.0,27.0,150305
332.0,297.0,150305
333.0,557.0,150305
334.0,125.0,150305
335.0,6.0,150305
336.0,86.0,150305
337.0,58.0,150305
338.0,182.0,150305
339.0,71.0,150305
340.0,120.0,150305
341.0,31.0,150305
342.0,64.0,150305
343.0,38.0,150305
344.0,145.0,150305
345.0,423.0,150305
346.0,169.0,150305
347.0,80.0,150305
348.0,43.0,150305
349.0,78.0,150305
350.0,85.0,150305
351.0,35.0,150305
352.0,130.0,150305
353.0,72.0,150305
354.0,41.0,150305
355.0,201.0,150305
356.0,334.0,150305
357.0,27.0,150305
358.0,54.0,150305
359.0,210.0,150305
360.0,61.0,150305
61.0,170.0,150305
62.0,52.0,150305
63.0,98.0,150305
64.0,72.0,150305
65.0,60.0,150305
66.0,100.0,150305
67.0,88.0,150305
68.0,182.0,150305
69.0,130.0,150305
70.0,160.0,150305
71.0,44.0,150305
72.0,92.0,150305
73.0,49.0,150305
74.0,610.0,150305
75.0,445.0,150305
76.0,97.0,150305
77.0,110.0,150305
78.0,149.0,150305
79.0,101.0,150305
80.0,184.0,150305
81.0,204.0,150305
82.0,104.0,150305
83.0,198.0,150305
84.0,485.0,150305
85.0,25.0,150305
86.0,48.0,150305
87.0,24.0,150305
88.0,71.0,150305
89.0,91.0,150305
90.0,66.0,150305
361.0,61.0,150305
362.0,45.0,150305
363.0,612.0,150305
364.0,104.0,150305
365.0,596.0,150305
366.0,33.0,150305
367.0,133.0,150305
368.0,25.0,150305
369.0,95.0,150305
370.0,269.0,150305
371.0,44.0,150305
372.0,29.0,150305
373.0,200.0,150305
374.0,26.0,150305
375.0,26.0,150305
376.0,81.0,150305
377.0,173.0,150305
378.0,3.0,150305
379.0,150.0,150305
380.0,291.0,150305
381.0,266.0,150305
382.0,86.0,150305
383.0,230.0,150305
384.0,6.0,150305
385.0,85.0,150305
386.0,363.0,150305
387.0,59.0,150305
91.0,292.0,150305
92.0,21.0,150305
93.0,103.0,150305
94.0,86.0,150305
95.0,50.0,150305
96.0,83.0,150305
97.0,123.0,150305
98.0,90.0,150305
99.0,40.0,150305
100.0,63.0,150305
101.0,79.0,150305
102.0,37.0,150305
103.0,38.0,150305
104.0,50.0,150305
105.0,36.0,150305
106.0,69.0,150305
107.0,47.0,150305
108.0,50.0,150305
109.0,167.0,150305
110.0,332.0,150305
111.0,106.0,150305
112.0,36.0,150305
113.0,45.0,150305
114.0,32.0,150305
115.0,337.0,150305
116.0,66.0,150305
117.0,112.0,150305
118.0,102.0,150305
119.0,6.0,150305
120.0,60.0,150305
121.0,253.0,150305
122.0,81.0,150305
123.0,43.0,150305
124.0,12.0,150305
125.0,45.0,150305
126.0,105.0,150305
127.0,65.0,150305
128.0,50.0,150305
129.0,102.0,150305
130.0,75.0,150305
131.0,21.0,150305
132.0,-13.0,150305
133.0,28.0,150305
134.0,45.0,150305
135.0,183.0,150305
136.0,34.0,150305
137.0,21.0,150305
138.0,91.0,150305
139.0,66.0,150305
140.0,290.0,150305
141.0,136.0,150305
142.0,47.0,150305
143.0,129.0,150305
144.0,14.0,150305
145.0,63.0,150305
146.0,115.0,150305
147.0,53.0,150305
148.0,75.0,150305
149.0,85.0,150305
150.0,185.0,150305
151.0,24.0,150305
152.0,113.0,150305
153.0,23.0,150305
154.0,56.0,150305
155.0,97.0,150305
156.0,45.0,150305
157.0,286.0,150305
158.0,100.0,150305
159.0,89.0,150305
160.0,87.0,150305
161.0,20.0,150305
162.0,-10.0,150305
163.0,-9.0,150305
164.0,26.0,150305
165.0,31.0,150305
166.0,70.0,150305
167.0,142.0,150305
168.0,85.0,150305
169.0,600.0,150305
170.0,72.0,150305
171.0,274.0,150305
172.0,94.0,150305
173.0,140.0,150305
174.0,60.0,150305
175.0,56.0,150305
176.0,262.0,150305
177.0,348.0,150305
178.0,30.0,150305
179.0,122.0,150305
180.0,70.0,150305
181.0,232.0,150305
182.0,77.0,150305
183.0,29.0,150305
184.0,49.0,150305
185.0,88.0,150305
186.0,95.0,150305
187.0,435.0,150305
188.0,131.0,150305
189.0,30.0,150305
190.0,62.0,150305
191.0,67.0,150305
192.0,75.0,150305
193.0,17.0,150305
194.0,175.0,150305
195.0,83.0,150305
196.0,25.0,150305
197.0,31.0,150305
198.0,86.0,150305
199.0,176.0,150305
200.0,19.0,150305
201.0,165.0,150305
202.0,67.0,150305
203.0,86.0,150305
204.0,218.0,150305
205.0,84.0,150305
206.0,61.0,150305
207.0,80.0,150305
208.0,17.0,150305
209.0,57.0,150305
210.0,129.0,150305
211.0,600.0,150305
212.0,47.0,150305
213.0,614.0,150305
214.0,55.0,150305
215.0,37.0,150305
216.0,50.0,150305
217.0,117.0,150305
218.0,55.0,150305
219.0,73.0,150305
220.0,306.0,150305
221.0,52.0,150305
222.0,503.0,150305
223.0,164.0,150305
224.0,101.0,150305
225.0,390.0,150305
226.0,82.0,150305
227.0,636.0,150305
228.0,115.0,150305
229.0,188.0,150305
230.0,147.0,150305
231.0,46.0,150305
232.0,366.0,150305
233.0,105.0,150305
234.0,119.0,150305
235.0,36.0,150305
236.0,248.0,150305
237.0,34.0,150305
238.0,637.0,150305
239.0,581.0,150305
240.0,46.0,150305
241.0,44.0,150305
242.0,92.0,150305
243.0,69.0,150305
244.0,16.0,150305
245.0,55.0,150305
246.0,225.0,150305
247.0,102.0,150305
248.0,97.0,150305
249.0,213.0,150305
250.0,65.0,150305
251.0,335.0,150305
252.0,54.0,150305
253.0,149.0,150305
254.0,324.0,150305
255.0,25.0,150305
256.0,108.0,150305
257.0,50.0,150305
258.0,143.0,150305
259.0,75.0,150305
260.0,338.0,150305
261.0,47.0,150305
262.0,45.0,150305
263.0,36.0,150305
264.0,86.0,150305
265.0,25.0,150305
266.0,21.0,150305
267.0,383.0,150305
268.0,69.0,150305
269.0,71.0,150305
270.0,394.0,150305
271.0,58.0,150305
272.0,85.0,150305
273.0,83.0,150305
274.0,349.0,150305
275.0,39.0,150305
276.0,73.0,150305
277.0,128.0,150305
278.0,15.0,150305
279.0,32.0,150305
280.0,100.0,150305
281.0,8.0,150305
282.0,75.0,150305
283.0,324.0,150305
284.0,75.0,150305
285.0,73.0,150305
286.0,119.0,150305
287.0,71.0,150305
288.0,55.0,150305
289.0,13.0,150305
290.0,57.0,150305
291.0,85.0,150305
292.0,55.0,150305
293.0,110.0,150305
294.0,32.0,150305
295.0,370.0,150305
296.0,30.0,150305
297.0,632.0,150305
298.0,35.0,150305
299.0,279.0,150305
300.0,507.0,150305
