Sr_no,Marks,Code
1.0,29.0,312205
2.0,58.0,312205
3.0,416.0,312205
4.0,98.0,312205
5.0,21.0,312205
6.0,76.0,312205
7.0,26.0,312205
8.0,245.0,312205
9.0,95.0,312205
10.0,167.0,312205
11.0,115.0,312205
12.0,110.0,312205
13.0,20.0,312205
14.0,45.0,312205
15.0,299.0,312205
16.0,90.0,312205
17.0,563.0,312205
18.0,9.0,312205
19.0,35.0,312205
20.0,62.0,312205
21.0,246.0,312205
22.0,88.0,312205
23.0,72.0,312205
24.0,56.0,312205
25.0,20.0,312205
26.0,10.0,312205
27.0,103.0,312205
28.0,33.0,312205
29.0,340.0,312205
30.0,55.0,312205
301.0,205.0,312205
302.0,222.0,312205
303.0,12.0,312205
304.0,106.0,312205
305.0,70.0,312205
306.0,151.0,312205
307.0,197.0,312205
308.0,97.0,312205
309.0,101.0,312205
310.0,74.0,312205
311.0,59.0,312205
312.0,20.0,312205
313.0,509.0,312205
314.0,51.0,312205
315.0,189.0,312205
316.0,5.0,312205
317.0,106.0,312205
318.0,15.0,312205
319.0,85.0,312205
320.0,159.0,312205
321.0,66.0,312205
322.0,135.0,312205
323.0,118.0,312205
324.0,141.0,312205
325.0,201.0,312205
326.0,135.0,312205
327.0,142.0,312205
328.0,130.0,312205
329.0,270.0,312205
330.0,613.0,312205
31.0,81.0,312205
32.0,172.0,312205
33.0,222.0,312205
34.0,465.0,312205
35.0,30.0,312205
36.0,462.0,312205
37.0,412.0,312205
38.0,120.0,312205
39.0,87.0,312205
40.0,176.0,312205
41.0,259.0,312205
42.0,199.0,312205
43.0,460.0,312205
44.0,56.0,312205
45.0,192.0,312205
46.0,52.0,312205
47.0,248.0,312205
48.0,130.0,312205
49.0,513.0,312205
50.0,583.0,312205
51.0,41.0,312205
52.0,14.0,312205
53.0,685.0,312205
54.0,302.0,312205
55.0,59.0,312205
56.0,74.0,312205
57.0,38.0,312205
58.0,185.0,312205
59.0,88.0,312205
60.0,328.0,312205
331.0,91.0,312205
332.0,132.0,312205
333.0,124.0,312205
334.0,35.0,312205
335.0,105.0,312205
336.0,79.0,312205
337.0,429.0,312205
338.0,159.0,312205
339.0,41.0,312205
340.0,141.0,312205
341.0,448.0,312205
342.0,394.0,312205
343.0,52.0,312205
344.0,14.0,312205
345.0,130.0,312205
346.0,5.0,312205
347.0,131.0,312205
348.0,74.0,312205
349.0,41.0,312205
350.0,101.0,312205
351.0,182.0,312205
352.0,145.0,312205
353.0,41.0,312205
354.0,187.0,312205
355.0,110.0,312205
356.0,70.0,312205
357.0,105.0,312205
358.0,184.0,312205
359.0,440.0,312205
360.0,-26.0,312205
61.0,492.0,312205
62.0,287.0,312205
63.0,295.0,312205
64.0,47.0,312205
65.0,288.0,312205
66.0,70.0,312205
67.0,123.0,312205
68.0,76.0,312205
69.0,81.0,312205
70.0,237.0,312205
71.0,120.0,312205
72.0,335.0,312205
73.0,68.0,312205
74.0,17.0,312205
75.0,46.0,312205
76.0,191.0,312205
77.0,55.0,312205
78.0,-18.0,312205
79.0,213.0,312205
80.0,170.0,312205
81.0,365.0,312205
82.0,42.0,312205
83.0,9.0,312205
84.0,111.0,312205
85.0,27.0,312205
86.0,86.0,312205
87.0,59.0,312205
88.0,84.0,312205
89.0,643.0,312205
90.0,55.0,312205
361.0,71.0,312205
362.0,45.0,312205
363.0,122.0,312205
364.0,2.0,312205
365.0,155.0,312205
366.0,70.0,312205
367.0,47.0,312205
368.0,24.0,312205
369.0,33.0,312205
370.0,90.0,312205
371.0,123.0,312205
372.0,226.0,312205
373.0,181.0,312205
374.0,145.0,312205
375.0,112.0,312205
376.0,14.0,312205
377.0,123.0,312205
378.0,80.0,312205
379.0,35.0,312205
380.0,79.0,312205
381.0,256.0,312205
382.0,217.0,312205
383.0,62.0,312205
384.0,240.0,312205
385.0,46.0,312205
386.0,195.0,312205
387.0,44.0,312205
388.0,148.0,312205
389.0,181.0,312205
390.0,568.0,312205
91.0,40.0,312205
92.0,19.0,312205
93.0,309.0,312205
94.0,211.0,312205
95.0,205.0,312205
96.0,34.0,312205
97.0,25.0,312205
98.0,344.0,312205
99.0,63.0,312205
100.0,64.0,312205
101.0,199.0,312205
102.0,38.0,312205
103.0,197.0,312205
104.0,115.0,312205
105.0,66.0,312205
