Sr_no,Marks,Code
1.0,70.0,140215
2.0,15.0,140215
3.0,319.0,140215
4.0,277.0,140215
5.0,144.0,140215
6.0,574.0,140215
7.0,574.0,140215
8.0,47.0,140215
9.0,530.0,140215
10.0,398.0,140215
11.0,55.0,140215
12.0,54.0,140215
13.0,188.0,140215
14.0,3.0,140215
15.0,91.0,140215
16.0,42.0,140215
17.0,67.0,140215
18.0,158.0,140215
19.0,67.0,140215
20.0,114.0,140215
21.0,65.0,140215
22.0,335.0,140215
23.0,597.0,140215
24.0,120.0,140215
25.0,219.0,140215
26.0,299.0,140215
27.0,464.0,140215
28.0,222.0,140215
29.0,379.0,140215
30.0,323.0,140215
301.0,20.0,140215
302.0,89.0,140215
303.0,491.0,140215
304.0,77.0,140215
305.0,666.0,140215
306.0,136.0,140215
307.0,450.0,140215
308.0,213.0,140215
309.0,206.0,140215
310.0,528.0,140215
311.0,231.0,140215
312.0,62.0,140215
313.0,164.0,140215
314.0,49.0,140215
315.0,493.0,140215
316.0,55.0,140215
317.0,239.0,140215
318.0,115.0,140215
319.0,106.0,140215
320.0,548.0,140215
321.0,160.0,140215
322.0,139.0,140215
323.0,382.0,140215
324.0,685.0,140215
325.0,20.0,140215
326.0,51.0,140215
327.0,587.0,140215
328.0,150.0,140215
329.0,242.0,140215
330.0,148.0,140215
31.0,134.0,140215
32.0,58.0,140215
33.0,192.0,140215
34.0,129.0,140215
35.0,113.0,140215
36.0,103.0,140215
37.0,27.0,140215
38.0,199.0,140215
39.0,365.0,140215
40.0,91.0,140215
41.0,187.0,140215
42.0,96.0,140215
43.0,548.0,140215
44.0,169.0,140215
45.0,565.0,140215
46.0,101.0,140215
47.0,625.0,140215
48.0,27.0,140215
49.0,263.0,140215
50.0,154.0,140215
51.0,35.0,140215
52.0,370.0,140215
53.0,168.0,140215
54.0,65.0,140215
55.0,241.0,140215
56.0,379.0,140215
57.0,388.0,140215
58.0,457.0,140215
59.0,54.0,140215
60.0,163.0,140215
331.0,93.0,140215
332.0,264.0,140215
333.0,412.0,140215
334.0,147.0,140215
335.0,87.0,140215
336.0,377.0,140215
337.0,445.0,140215
338.0,120.0,140215
339.0,63.0,140215
340.0,69.0,140215
341.0,130.0,140215
342.0,535.0,140215
343.0,215.0,140215
344.0,58.0,140215
345.0,144.0,140215
346.0,653.0,140215
347.0,110.0,140215
348.0,89.0,140215
349.0,597.0,140215
350.0,84.0,140215
351.0,236.0,140215
352.0,27.0,140215
353.0,48.0,140215
354.0,158.0,140215
355.0,105.0,140215
356.0,237.0,140215
357.0,548.0,140215
358.0,53.0,140215
359.0,312.0,140215
360.0,158.0,140215
61.0,169.0,140215
62.0,157.0,140215
63.0,160.0,140215
64.0,178.0,140215
65.0,149.0,140215
66.0,320.0,140215
67.0,225.0,140215
68.0,73.0,140215
69.0,196.0,140215
70.0,195.0,140215
71.0,198.0,140215
72.0,603.0,140215
73.0,146.0,140215
74.0,324.0,140215
75.0,294.0,140215
76.0,239.0,140215
77.0,90.0,140215
78.0,414.0,140215
79.0,528.0,140215
80.0,340.0,140215
81.0,294.0,140215
82.0,195.0,140215
83.0,275.0,140215
84.0,506.0,140215
85.0,439.0,140215
86.0,123.0,140215
87.0,457.0,140215
88.0,533.0,140215
89.0,114.0,140215
90.0,111.0,140215
361.0,244.0,140215
362.0,165.0,140215
363.0,239.0,140215
364.0,131.0,140215
365.0,64.0,140215
366.0,567.0,140215
367.0,205.0,140215
368.0,225.0,140215
369.0,290.0,140215
370.0,191.0,140215
371.0,184.0,140215
372.0,263.0,140215
373.0,67.0,140215
374.0,314.0,140215
375.0,235.0,140215
376.0,77.0,140215
377.0,394.0,140215
378.0,189.0,140215
379.0,680.0,140215
380.0,276.0,140215
381.0,282.0,140215
382.0,445.0,140215
383.0,145.0,140215
384.0,135.0,140215
385.0,51.0,140215
386.0,86.0,140215
387.0,478.0,140215
388.0,75.0,140215
389.0,92.0,140215
390.0,99.0,140215
91.0,90.0,140215
92.0,325.0,140215
93.0,47.0,140215
94.0,478.0,140215
95.0,439.0,140215
96.0,60.0,140215
97.0,85.0,140215
98.0,211.0,140215
99.0,42.0,140215
100.0,30.0,140215
101.0,369.0,140215
102.0,139.0,140215
103.0,219.0,140215
104.0,452.0,140215
105.0,36.0,140215
106.0,260.0,140215
107.0,210.0,140215
108.0,302.0,140215
109.0,170.0,140215
110.0,17.0,140215
111.0,48.0,140215
112.0,99.0,140215
113.0,548.0,140215
114.0,459.0,140215
115.0,323.0,140215
116.0,219.0,140215
117.0,303.0,140215
118.0,33.0,140215
119.0,127.0,140215
120.0,310.0,140215
391.0,66.0,140215
392.0,233.0,140215
393.0,202.0,140215
394.0,139.0,140215
395.0,212.0,140215
396.0,47.0,140215
397.0,54.0,140215
398.0,320.0,140215
399.0,602.0,140215
400.0,82.0,140215
401.0,257.0,140215
402.0,138.0,140215
403.0,145.0,140215
404.0,451.0,140215
405.0,49.0,140215
406.0,65.0,140215
407.0,50.0,140215
408.0,131.0,140215
409.0,166.0,140215
410.0,84.0,140215
411.0,200.0,140215
412.0,572.0,140215
413.0,129.0,140215
414.0,544.0,140215
415.0,303.0,140215
416.0,448.0,140215
417.0,180.0,140215
418.0,168.0,140215
419.0,372.0,140215
420.0,277.0,140215
121.0,348.0,140215
122.0,458.0,140215
123.0,662.0,140215
124.0,261.0,140215
125.0,130.0,140215
126.0,45.0,140215
127.0,31.0,140215
128.0,637.0,140215
129.0,212.0,140215
130.0,411.0,140215
131.0,643.0,140215
132.0,135.0,140215
133.0,130.0,140215
134.0,347.0,140215
135.0,309.0,140215
136.0,18.0,140215
137.0,392.0,140215
138.0,341.0,140215
139.0,422.0,140215
140.0,340.0,140215
141.0,158.0,140215
142.0,150.0,140215
143.0,7.0,140215
144.0,506.0,140215
145.0,217.0,140215
146.0,291.0,140215
147.0,177.0,140215
148.0,258.0,140215
149.0,110.0,140215
150.0,176.0,140215
421.0,213.0,140215
422.0,106.0,140215
423.0,383.0,140215
424.0,40.0,140215
425.0,273.0,140215
426.0,69.0,140215
427.0,179.0,140215
428.0,111.0,140215
429.0,98.0,140215
430.0,620.0,140215
431.0,30.0,140215
432.0,149.0,140215
433.0,107.0,140215
434.0,111.0,140215
435.0,393.0,140215
436.0,182.0,140215
437.0,350.0,140215
438.0,40.0,140215
439.0,425.0,140215
440.0,320.0,140215
441.0,376.0,140215
442.0,194.0,140215
443.0,49.0,140215
444.0,614.0,140215
445.0,183.0,140215
446.0,97.0,140215
447.0,63.0,140215
448.0,61.0,140215
449.0,146.0,140215
450.0,269.0,140215
151.0,291.0,140215
152.0,455.0,140215
153.0,290.0,140215
154.0,45.0,140215
155.0,80.0,140215
156.0,635.0,140215
157.0,196.0,140215
158.0,100.0,140215
159.0,284.0,140215
160.0,108.0,140215
161.0,146.0,140215
162.0,268.0,140215
163.0,101.0,140215
164.0,96.0,140215
165.0,27.0,140215
166.0,97.0,140215
167.0,93.0,140215
168.0,164.0,140215
169.0,195.0,140215
170.0,468.0,140215
171.0,31.0,140215
172.0,601.0,140215
173.0,187.0,140215
174.0,75.0,140215
175.0,70.0,140215
176.0,246.0,140215
177.0,122.0,140215
178.0,199.0,140215
179.0,90.0,140215
180.0,276.0,140215
451.0,143.0,140215
452.0,156.0,140215
453.0,607.0,140215
454.0,90.0,140215
455.0,392.0,140215
456.0,67.0,140215
457.0,109.0,140215
181.0,162.0,140215
182.0,651.0,140215
183.0,110.0,140215
184.0,82.0,140215
185.0,150.0,140215
186.0,170.0,140215
187.0,228.0,140215
188.0,234.0,140215
189.0,387.0,140215
190.0,527.0,140215
191.0,275.0,140215
192.0,28.0,140215
193.0,136.0,140215
194.0,588.0,140215
195.0,50.0,140215
196.0,84.0,140215
197.0,142.0,140215
198.0,185.0,140215
199.0,91.0,140215
200.0,71.0,140215
201.0,125.0,140215
202.0,279.0,140215
203.0,42.0,140215
204.0,462.0,140215
205.0,284.0,140215
206.0,200.0,140215
207.0,97.0,140215
208.0,128.0,140215
209.0,145.0,140215
210.0,646.0,140215
211.0,211.0,140215
212.0,91.0,140215
213.0,323.0,140215
214.0,250.0,140215
215.0,203.0,140215
216.0,68.0,140215
217.0,47.0,140215
218.0,123.0,140215
219.0,137.0,140215
220.0,21.0,140215
221.0,134.0,140215
222.0,171.0,140215
223.0,171.0,140215
224.0,333.0,140215
225.0,219.0,140215
226.0,135.0,140215
227.0,473.0,140215
228.0,102.0,140215
229.0,59.0,140215
230.0,102.0,140215
231.0,140.0,140215
232.0,446.0,140215
233.0,227.0,140215
234.0,223.0,140215
235.0,319.0,140215
236.0,65.0,140215
237.0,175.0,140215
238.0,71.0,140215
239.0,60.0,140215
240.0,67.0,140215
241.0,182.0,140215
242.0,200.0,140215
243.0,231.0,140215
244.0,575.0,140215
245.0,143.0,140215
246.0,121.0,140215
247.0,122.0,140215
248.0,265.0,140215
249.0,77.0,140215
250.0,275.0,140215
251.0,50.0,140215
252.0,605.0,140215
253.0,25.0,140215
254.0,187.0,140215
255.0,382.0,140215
256.0,87.0,140215
257.0,298.0,140215
258.0,364.0,140215
259.0,422.0,140215
260.0,135.0,140215
261.0,50.0,140215
262.0,92.0,140215
263.0,83.0,140215
264.0,348.0,140215
265.0,297.0,140215
266.0,386.0,140215
267.0,271.0,140215
268.0,73.0,140215
269.0,244.0,140215
270.0,3.0,140215
271.0,543.0,140215
272.0,600.0,140215
273.0,95.0,140215
274.0,25.0,140215
275.0,169.0,140215
276.0,282.0,140215
277.0,404.0,140215
278.0,210.0,140215
279.0,15.0,140215
280.0,43.0,140215
281.0,241.0,140215
282.0,98.0,140215
283.0,640.0,140215
284.0,135.0,140215
285.0,139.0,140215
286.0,140.0,140215
287.0,56.0,140215
288.0,414.0,140215
289.0,348.0,140215
290.0,136.0,140215
291.0,484.0,140215
292.0,616.0,140215
293.0,257.0,140215
294.0,138.0,140215
295.0,201.0,140215
296.0,123.0,140215
297.0,470.0,140215
298.0,390.0,140215
299.0,164.0,140215
300.0,555.0,140215
