Sr_no,Marks,Code
1,136,380501
2,222,380501
3,60,380501
4,267,380501
5,69,380501
6,59,380501
7,361,380501
8,339,380501
9,510,380501
10,129,380501
11,186,380501
12,93,380501
13,60,380501
14,111,380501
15,518,380501
16,336,380501
17,65,380501
18,59,380501
19,37,380501
20,59,380501
21,539,380501
22,251,380501
23,265,380501
24,450,380501
25,380,380501
26,94,380501
27,640,380501
28,303,380501
29,516,380501
30,85,380501
301,42,380501
302,115,380501
303,178,380501
304,188,380501
305,75,380501
306,428,380501
307,96,380501
308,190,380501
309,695,380501
310,187,380501
311,421,380501
312,217,380501
313,130,380501
314,101,380501
315,183,380501
316,299,380501
317,35,380501
318,281,380501
319,465,380501
320,80,380501
321,522,380501
322,404,380501
323,146,380501
324,242,380501
325,115,380501
326,143,380501
327,607,380501
328,316,380501
329,0,380501
330,23,380501
601,185,380501
602,272,380501
603,587,380501
604,530,380501
605,45,380501
606,468,380501
607,154,380501
608,110,380501
609,54,380501
610,396,380501
611,90,380501
612,287,380501
613,90,380501
614,163,380501
615,136,380501
616,263,380501
617,58,380501
618,127,380501
619,97,380501
620,143,380501
621,92,380501
622,192,380501
623,143,380501
624,456,380501
625,447,380501
626,95,380501
627,36,380501
628,458,380501
629,139,380501
630,85,380501
31,90,380501
32,282,380501
33,47,380501
34,303,380501
35,85,380501
36,250,380501
37,200,380501
38,154,380501
39,165,380501
40,73,380501
41,654,380501
42,599,380501
43,134,380501
44,111,380501
45,203,380501
46,109,380501
47,165,380501
48,167,380501
49,706,380501
50,325,380501
51,67,380501
52,400,380501
53,377,380501
54,326,380501
55,562,380501
56,106,380501
57,50,380501
58,104,380501
59,49,380501
60,130,380501
331,6,380501
332,48,380501
333,168,380501
334,481,380501
335,474,380501
336,142,380501
337,715,380501
338,41,380501
339,200,380501
340,286,380501
341,175,380501
342,67,380501
343,633,380501
344,271,380501
345,469,380501
346,54,380501
347,262,380501
348,276,380501
349,25,380501
350,92,380501
351,226,380501
352,56,380501
353,80,380501
354,566,380501
355,241,380501
356,403,380501
357,462,380501
358,136,380501
359,34,380501
360,624,380501
631,381,380501
632,105,380501
633,101,380501
634,156,380501
635,374,380501
636,162,380501
637,124,380501
638,43,380501
639,85,380501
640,658,380501
641,190,380501
642,262,380501
643,194,380501
644,36,380501
645,356,380501
646,250,380501
647,89,380501
648,73,380501
649,53,380501
650,54,380501
651,97,380501
652,300,380501
653,431,380501
654,154,380501
655,304,380501
656,198,380501
657,63,380501
658,226,380501
659,325,380501
660,184,380501
61,594,380501
62,245,380501
63,19,380501
64,602,380501
65,512,380501
66,102,380501
67,407,380501
68,431,380501
69,175,380501
70,85,380501
71,35,380501
72,320,380501
73,443,380501
74,245,380501
75,73,380501
76,185,380501
77,129,380501
78,532,380501
79,515,380501
80,144,380501
81,214,380501
82,62,380501
83,100,380501
84,263,380501
85,57,380501
86,212,380501
87,209,380501
88,149,380501
89,149,380501
90,36,380501
361,451,380501
362,640,380501
