Sr_no,Marks,Code
1.0,228.0,460905
2.0,74.0,460905
3.0,414.0,460905
4.0,124.0,460905
5.0,115.0,460905
6.0,35.0,460905
7.0,39.0,460905
8.0,306.0,460905
9.0,441.0,460905
10.0,185.0,460905
11.0,291.0,460905
12.0,109.0,460905
13.0,130.0,460905
14.0,121.0,460905
15.0,200.0,460905
16.0,122.0,460905
17.0,278.0,460905
18.0,132.0,460905
19.0,398.0,460905
20.0,343.0,460905
21.0,275.0,460905
22.0,33.0,460905
23.0,57.0,460905
24.0,497.0,460905
25.0,516.0,460905
26.0,313.0,460905
27.0,140.0,460905
28.0,293.0,460905
29.0,326.0,460905
30.0,308.0,460905
301.0,242.0,460905
302.0,497.0,460905
303.0,287.0,460905
304.0,512.0,460905
305.0,87.0,460905
306.0,217.0,460905
307.0,206.0,460905
308.0,153.0,460905
309.0,66.0,460905
310.0,322.0,460905
311.0,351.0,460905
312.0,461.0,460905
313.0,506.0,460905
314.0,611.0,460905
315.0,96.0,460905
316.0,267.0,460905
317.0,49.0,460905
318.0,375.0,460905
319.0,414.0,460905
320.0,104.0,460905
321.0,71.0,460905
322.0,65.0,460905
323.0,147.0,460905
324.0,70.0,460905
325.0,341.0,460905
326.0,269.0,460905
327.0,233.0,460905
328.0,497.0,460905
329.0,30.0,460905
330.0,41.0,460905
31.0,154.0,460905
32.0,274.0,460905
33.0,51.0,460905
34.0,94.0,460905
35.0,112.0,460905
36.0,125.0,460905
37.0,71.0,460905
38.0,107.0,460905
39.0,88.0,460905
40.0,360.0,460905
41.0,127.0,460905
42.0,122.0,460905
43.0,477.0,460905
44.0,395.0,460905
45.0,198.0,460905
46.0,417.0,460905
47.0,144.0,460905
48.0,180.0,460905
49.0,450.0,460905
50.0,132.0,460905
51.0,68.0,460905
52.0,365.0,460905
53.0,160.0,460905
54.0,523.0,460905
55.0,173.0,460905
56.0,220.0,460905
57.0,105.0,460905
58.0,203.0,460905
59.0,182.0,460905
60.0,54.0,460905
331.0,387.0,460905
332.0,247.0,460905
333.0,168.0,460905
334.0,145.0,460905
335.0,387.0,460905
336.0,420.0,460905
337.0,379.0,460905
338.0,69.0,460905
339.0,265.0,460905
340.0,582.0,460905
341.0,200.0,460905
342.0,43.0,460905
343.0,287.0,460905
344.0,30.0,460905
345.0,190.0,460905
346.0,54.0,460905
347.0,101.0,460905
348.0,103.0,460905
349.0,439.0,460905
350.0,91.0,460905
351.0,389.0,460905
352.0,351.0,460905
353.0,195.0,460905
354.0,150.0,460905
355.0,40.0,460905
356.0,265.0,460905
357.0,623.0,460905
358.0,194.0,460905
359.0,218.0,460905
360.0,520.0,460905
61.0,34.0,460905
62.0,343.0,460905
63.0,102.0,460905
64.0,83.0,460905
65.0,364.0,460905
66.0,171.0,460905
67.0,441.0,460905
68.0,85.0,460905
69.0,229.0,460905
70.0,84.0,460905
71.0,193.0,460905
72.0,155.0,460905
73.0,107.0,460905
74.0,575.0,460905
75.0,326.0,460905
76.0,67.0,460905
77.0,614.0,460905
78.0,249.0,460905
79.0,57.0,460905
80.0,133.0,460905
81.0,429.0,460905
82.0,108.0,460905
83.0,72.0,460905
84.0,461.0,460905
85.0,127.0,460905
86.0,5.0,460905
87.0,239.0,460905
88.0,235.0,460905
89.0,110.0,460905
90.0,164.0,460905
361.0,188.0,460905
362.0,155.0,460905
363.0,85.0,460905
364.0,207.0,460905
365.0,260.0,460905
366.0,430.0,460905
367.0,252.0,460905
368.0,346.0,460905
369.0,404.0,460905
370.0,420.0,460905
371.0,309.0,460905
372.0,105.0,460905
373.0,563.0,460905
374.0,52.0,460905
375.0,420.0,460905
376.0,239.0,460905
377.0,40.0,460905
378.0,328.0,460905
379.0,213.0,460905
380.0,331.0,460905
381.0,496.0,460905
382.0,247.0,460905
383.0,136.0,460905
384.0,662.0,460905
385.0,131.0,460905
386.0,426.0,460905
387.0,231.0,460905
388.0,246.0,460905
389.0,85.0,460905
390.0,460.0,460905
91.0,-21.0,460905
92.0,58.0,460905
93.0,122.0,460905
94.0,430.0,460905
95.0,245.0,460905
96.0,64.0,460905
97.0,153.0,460905
98.0,122.0,460905
99.0,133.0,460905
100.0,159.0,460905
101.0,217.0,460905
102.0,176.0,460905
103.0,142.0,460905
104.0,184.0,460905
105.0,173.0,460905
106.0,596.0,460905
107.0,137.0,460905
108.0,175.0,460905
109.0,230.0,460905
110.0,326.0,460905
111.0,673.0,460905
112.0,78.0,460905
113.0,498.0,460905
114.0,205.0,460905
115.0,271.0,460905
116.0,235.0,460905
117.0,148.0,460905
118.0,270.0,460905
119.0,59.0,460905
120.0,384.0,460905
391.0,161.0,460905
392.0,136.0,460905
393.0,147.0,460905
394.0,198.0,460905
395.0,484.0,460905
396.0,551.0,460905
397.0,310.0,460905
398.0,627.0,460905
399.0,209.0,460905
400.0,549.0,460905
401.0,391.0,460905
402.0,300.0,460905
403.0,85.0,460905
404.0,251.0,460905
405.0,454.0,460905
406.0,54.0,460905
407.0,84.0,460905
408.0,72.0,460905
409.0,230.0,460905
410.0,65.0,460905
411.0,160.0,460905
412.0,69.0,460905
413.0,140.0,460905
414.0,298.0,460905
415.0,558.0,460905
416.0,59.0,460905
417.0,382.0,460905
418.0,166.0,460905
419.0,370.0,460905
420.0,331.0,460905
121.0,71.0,460905
122.0,81.0,460905
123.0,312.0,460905
124.0,432.0,460905
125.0,85.0,460905
126.0,43.0,460905
127.0,131.0,460905
128.0,311.0,460905
129.0,115.0,460905
130.0,100.0,460905
131.0,131.0,460905
132.0,59.0,460905
133.0,221.0,460905
134.0,324.0,460905
135.0,184.0,460905
136.0,117.0,460905
137.0,190.0,460905
138.0,124.0,460905
139.0,229.0,460905
140.0,156.0,460905
141.0,68.0,460905
142.0,263.0,460905
143.0,68.0,460905
144.0,575.0,460905
145.0,139.0,460905
146.0,449.0,460905
147.0,60.0,460905
148.0,151.0,460905
149.0,609.0,460905
150.0,113.0,460905
421.0,420.0,460905
422.0,148.0,460905
423.0,205.0,460905
424.0,611.0,460905
425.0,150.0,460905
426.0,525.0,460905
427.0,164.0,460905
428.0,163.0,460905
429.0,223.0,460905
430.0,391.0,460905
431.0,557.0,460905
432.0,193.0,460905
433.0,296.0,460905
434.0,71.0,460905
435.0,199.0,460905
436.0,125.0,460905
437.0,214.0,460905
438.0,525.0,460905
439.0,222.0,460905
440.0,410.0,460905
441.0,415.0,460905
442.0,170.0,460905
443.0,230.0,460905
444.0,396.0,460905
445.0,92.0,460905
446.0,74.0,460905
447.0,237.0,460905
448.0,234.0,460905
449.0,226.0,460905
450.0,75.0,460905
151.0,215.0,460905
152.0,330.0,460905
153.0,155.0,460905
154.0,111.0,460905
155.0,222.0,460905
156.0,501.0,460905
157.0,648.0,460905
158.0,156.0,460905
159.0,332.0,460905
160.0,360.0,460905
161.0,221.0,460905
162.0,305.0,460905
163.0,47.0,460905
164.0,78.0,460905
165.0,86.0,460905
166.0,84.0,460905
167.0,169.0,460905
168.0,369.0,460905
169.0,271.0,460905
170.0,232.0,460905
171.0,301.0,460905
172.0,231.0,460905
173.0,231.0,460905
174.0,97.0,460905
175.0,175.0,460905
176.0,181.0,460905
177.0,516.0,460905
178.0,235.0,460905
179.0,125.0,460905
180.0,121.0,460905
451.0,386.0,460905
452.0,462.0,460905
453.0,126.0,460905
454.0,151.0,460905
455.0,364.0,460905
456.0,585.0,460905
457.0,551.0,460905
458.0,357.0,460905
459.0,34.0,460905
460.0,328.0,460905
461.0,363.0,460905
462.0,489.0,460905
463.0,355.0,460905
464.0,92.0,460905
465.0,295.0,460905
466.0,147.0,460905
467.0,578.0,460905
468.0,333.0,460905
469.0,267.0,460905
470.0,65.0,460905
471.0,100.0,460905
472.0,59.0,460905
473.0,191.0,460905
474.0,59.0,460905
475.0,611.0,460905
476.0,104.0,460905
477.0,313.0,460905
478.0,156.0,460905
479.0,586.0,460905
480.0,377.0,460905
181.0,328.0,460905
182.0,635.0,460905
183.0,95.0,460905
184.0,82.0,460905
185.0,317.0,460905
186.0,53.0,460905
187.0,324.0,460905
188.0,39.0,460905
189.0,544.0,460905
190.0,91.0,460905
191.0,259.0,460905
192.0,206.0,460905
193.0,154.0,460905
194.0,300.0,460905
195.0,229.0,460905
196.0,143.0,460905
197.0,56.0,460905
198.0,195.0,460905
199.0,654.0,460905
200.0,160.0,460905
201.0,126.0,460905
202.0,32.0,460905
203.0,295.0,460905
204.0,152.0,460905
205.0,336.0,460905
206.0,147.0,460905
207.0,510.0,460905
208.0,11.0,460905
209.0,262.0,460905
210.0,202.0,460905
481.0,354.0,460905
482.0,343.0,460905
483.0,610.0,460905
484.0,226.0,460905
485.0,283.0,460905
486.0,20.0,460905
487.0,228.0,460905
488.0,173.0,460905
489.0,639.0,460905
490.0,88.0,460905
491.0,261.0,460905
492.0,15.0,460905
493.0,95.0,460905
494.0,221.0,460905
495.0,362.0,460905
496.0,492.0,460905
497.0,287.0,460905
498.0,81.0,460905
499.0,174.0,460905
500.0,283.0,460905
501.0,295.0,460905
502.0,62.0,460905
503.0,419.0,460905
504.0,561.0,460905
505.0,121.0,460905
506.0,71.0,460905
507.0,536.0,460905
508.0,466.0,460905
509.0,113.0,460905
510.0,196.0,460905
211.0,190.0,460905
212.0,217.0,460905
213.0,594.0,460905
214.0,362.0,460905
215.0,181.0,460905
216.0,256.0,460905
217.0,491.0,460905
218.0,120.0,460905
219.0,544.0,460905
220.0,35.0,460905
221.0,376.0,460905
222.0,266.0,460905
223.0,565.0,460905
224.0,153.0,460905
225.0,123.0,460905
226.0,365.0,460905
227.0,50.0,460905
228.0,146.0,460905
229.0,55.0,460905
230.0,232.0,460905
231.0,85.0,460905
232.0,67.0,460905
233.0,337.0,460905
234.0,460.0,460905
235.0,120.0,460905
236.0,110.0,460905
237.0,108.0,460905
238.0,519.0,460905
239.0,31.0,460905
240.0,328.0,460905
511.0,82.0,460905
512.0,61.0,460905
513.0,257.0,460905
514.0,290.0,460905
515.0,153.0,460905
516.0,650.0,460905
517.0,561.0,460905
518.0,453.0,460905
519.0,622.0,460905
520.0,67.0,460905
521.0,501.0,460905
522.0,107.0,460905
523.0,562.0,460905
524.0,374.0,460905
525.0,158.0,460905
526.0,198.0,460905
527.0,378.0,460905
528.0,605.0,460905
529.0,50.0,460905
530.0,376.0,460905
531.0,287.0,460905
532.0,460.0,460905
533.0,99.0,460905
534.0,443.0,460905
535.0,171.0,460905
536.0,78.0,460905
537.0,427.0,460905
538.0,238.0,460905
539.0,135.0,460905
540.0,403.0,460905
241.0,307.0,460905
242.0,561.0,460905
243.0,111.0,460905
244.0,629.0,460905
245.0,63.0,460905
246.0,115.0,460905
247.0,75.0,460905
248.0,71.0,460905
249.0,216.0,460905
250.0,122.0,460905
251.0,224.0,460905
252.0,397.0,460905
253.0,70.0,460905
254.0,149.0,460905
255.0,137.0,460905
256.0,210.0,460905
257.0,388.0,460905
258.0,118.0,460905
259.0,83.0,460905
260.0,326.0,460905
261.0,429.0,460905
262.0,492.0,460905
263.0,243.0,460905
264.0,277.0,460905
265.0,177.0,460905
266.0,160.0,460905
267.0,621.0,460905
268.0,64.0,460905
269.0,447.0,460905
270.0,45.0,460905
541.0,35.0,460905
542.0,55.0,460905
543.0,70.0,460905
544.0,204.0,460905
545.0,30.0,460905
546.0,124.0,460905
547.0,311.0,460905
548.0,414.0,460905
549.0,117.0,460905
550.0,70.0,460905
551.0,123.0,460905
552.0,65.0,460905
553.0,275.0,460905
554.0,170.0,460905
555.0,98.0,460905
556.0,197.0,460905
557.0,131.0,460905
558.0,112.0,460905
559.0,253.0,460905
560.0,139.0,460905
561.0,63.0,460905
562.0,663.0,460905
563.0,660.0,460905
564.0,207.0,460905
565.0,152.0,460905
566.0,221.0,460905
567.0,261.0,460905
568.0,160.0,460905
569.0,176.0,460905
570.0,125.0,460905
271.0,126.0,460905
272.0,602.0,460905
273.0,462.0,460905
274.0,105.0,460905
275.0,127.0,460905
276.0,85.0,460905
277.0,303.0,460905
278.0,102.0,460905
279.0,102.0,460905
280.0,65.0,460905
281.0,120.0,460905
282.0,492.0,460905
283.0,173.0,460905
284.0,248.0,460905
285.0,273.0,460905
286.0,242.0,460905
287.0,217.0,460905
288.0,194.0,460905
289.0,643.0,460905
290.0,99.0,460905
291.0,157.0,460905
292.0,233.0,460905
293.0,141.0,460905
294.0,457.0,460905
295.0,476.0,460905
296.0,150.0,460905
297.0,363.0,460905
298.0,64.0,460905
299.0,95.0,460905
300.0,126.0,460905
571.0,183.0,460905
572.0,22.0,460905
573.0,214.0,460905
574.0,284.0,460905
575.0,105.0,460905
576.0,226.0,460905
577.0,145.0,460905
578.0,149.0,460905
579.0,141.0,460905
580.0,162.0,460905
581.0,551.0,460905
582.0,223.0,460905
583.0,48.0,460905
584.0,91.0,460905
