Sr_no,Marks,Code
1.0,154.0,281126
2.0,187.0,281126
3.0,285.0,281126
4.0,97.0,281126
5.0,537.0,281126
6.0,84.0,281126
7.0,126.0,281126
8.0,118.0,281126
9.0,44.0,281126
10.0,164.0,281126
11.0,111.0,281126
12.0,119.0,281126
13.0,157.0,281126
14.0,-4.0,281126
15.0,85.0,281126
16.0,232.0,281126
17.0,70.0,281126
18.0,70.0,281126
19.0,497.0,281126
20.0,170.0,281126
21.0,153.0,281126
22.0,163.0,281126
23.0,462.0,281126
24.0,588.0,281126
25.0,231.0,281126
26.0,188.0,281126
27.0,96.0,281126
28.0,197.0,281126
29.0,202.0,281126
30.0,485.0,281126
31.0,25.0,281126
32.0,312.0,281126
33.0,173.0,281126
34.0,627.0,281126
35.0,112.0,281126
36.0,70.0,281126
37.0,105.0,281126
38.0,482.0,281126
39.0,137.0,281126
40.0,192.0,281126
41.0,313.0,281126
42.0,111.0,281126
43.0,113.0,281126
44.0,142.0,281126
45.0,163.0,281126
46.0,363.0,281126
47.0,171.0,281126
48.0,359.0,281126
49.0,188.0,281126
50.0,493.0,281126
51.0,656.0,281126
52.0,305.0,281126
53.0,60.0,281126
54.0,700.0,281126
55.0,65.0,281126
56.0,103.0,281126
57.0,80.0,281126
58.0,69.0,281126
59.0,504.0,281126
60.0,166.0,281126
61.0,301.0,281126
62.0,217.0,281126
63.0,75.0,281126
64.0,377.0,281126
65.0,137.0,281126
66.0,100.0,281126
67.0,92.0,281126
68.0,163.0,281126
69.0,155.0,281126
70.0,80.0,281126
71.0,166.0,281126
72.0,501.0,281126
73.0,244.0,281126
74.0,167.0,281126
75.0,11.0,281126
76.0,412.0,281126
77.0,505.0,281126
78.0,644.0,281126
79.0,250.0,281126
80.0,179.0,281126
81.0,162.0,281126
82.0,180.0,281126
83.0,138.0,281126
84.0,394.0,281126
85.0,10.0,281126
86.0,167.0,281126
87.0,125.0,281126
88.0,407.0,281126
89.0,132.0,281126
90.0,170.0,281126
91.0,55.0,281126
92.0,210.0,281126
93.0,60.0,281126
94.0,130.0,281126
95.0,0.0,281126
96.0,75.0,281126
97.0,130.0,281126
98.0,30.0,281126
99.0,518.0,281126
100.0,92.0,281126
101.0,220.0,281126
102.0,30.0,281126
103.0,86.0,281126
104.0,185.0,281126
105.0,597.0,281126
106.0,529.0,281126
107.0,103.0,281126
108.0,362.0,281126
109.0,355.0,281126
110.0,635.0,281126
111.0,605.0,281126
112.0,222.0,281126
113.0,137.0,281126
114.0,138.0,281126
115.0,331.0,281126
116.0,141.0,281126
117.0,323.0,281126
118.0,165.0,281126
119.0,115.0,281126
120.0,210.0,281126
121.0,584.0,281126
122.0,169.0,281126
123.0,39.0,281126
124.0,206.0,281126
125.0,567.0,281126
126.0,687.0,281126
127.0,50.0,281126
128.0,122.0,281126
129.0,173.0,281126
130.0,480.0,281126
131.0,423.0,281126
132.0,313.0,281126
133.0,135.0,281126
134.0,130.0,281126
135.0,133.0,281126
136.0,143.0,281126
137.0,49.0,281126
138.0,147.0,281126
139.0,183.0,281126
140.0,303.0,281126
141.0,118.0,281126
142.0,121.0,281126
143.0,374.0,281126
144.0,100.0,281126
145.0,203.0,281126
146.0,63.0,281126
147.0,221.0,281126
148.0,176.0,281126
149.0,111.0,281126
150.0,43.0,281126
151.0,161.0,281126
152.0,410.0,281126
153.0,84.0,281126
154.0,63.0,281126
155.0,59.0,281126
156.0,85.0,281126
157.0,134.0,281126
158.0,180.0,281126
159.0,200.0,281126
160.0,483.0,281126
161.0,273.0,281126
162.0,80.0,281126
163.0,212.0,281126
164.0,241.0,281126
165.0,156.0,281126
166.0,562.0,281126
167.0,390.0,281126
168.0,453.0,281126
169.0,117.0,281126
170.0,578.0,281126
171.0,386.0,281126
172.0,205.0,281126
173.0,80.0,281126
174.0,65.0,281126
175.0,96.0,281126
176.0,140.0,281126
177.0,577.0,281126
178.0,1.0,281126
179.0,188.0,281126
180.0,166.0,281126
181.0,312.0,281126
182.0,90.0,281126
183.0,130.0,281126
184.0,305.0,281126
185.0,105.0,281126
186.0,150.0,281126
187.0,469.0,281126
