Sr_no,Marks,Code
1.0,80.0,310403
2.0,10.0,310403
3.0,37.0,310403
4.0,8.0,310403
5.0,349.0,310403
6.0,96.0,310403
7.0,39.0,310403
8.0,252.0,310403
9.0,104.0,310403
10.0,34.0,310403
11.0,39.0,310403
12.0,335.0,310403
13.0,-8.0,310403
14.0,118.0,310403
15.0,174.0,310403
16.0,69.0,310403
17.0,122.0,310403
18.0,543.0,310403
19.0,191.0,310403
20.0,55.0,310403
21.0,56.0,310403
22.0,76.0,310403
23.0,154.0,310403
24.0,82.0,310403
25.0,8.0,310403
26.0,-12.0,310403
27.0,125.0,310403
28.0,438.0,310403
29.0,104.0,310403
30.0,467.0,310403
301.0,252.0,310403
302.0,59.0,310403
303.0,96.0,310403
304.0,519.0,310403
305.0,125.0,310403
306.0,45.0,310403
307.0,212.0,310403
308.0,231.0,310403
309.0,133.0,310403
310.0,60.0,310403
311.0,182.0,310403
312.0,182.0,310403
313.0,175.0,310403
314.0,501.0,310403
315.0,33.0,310403
316.0,75.0,310403
317.0,516.0,310403
318.0,162.0,310403
319.0,45.0,310403
320.0,476.0,310403
321.0,287.0,310403
322.0,126.0,310403
323.0,281.0,310403
324.0,111.0,310403
325.0,128.0,310403
326.0,15.0,310403
327.0,20.0,310403
328.0,330.0,310403
329.0,277.0,310403
330.0,78.0,310403
601.0,85.0,310403
602.0,75.0,310403
603.0,82.0,310403
604.0,75.0,310403
605.0,336.0,310403
606.0,62.0,310403
607.0,85.0,310403
608.0,419.0,310403
609.0,21.0,310403
610.0,370.0,310403
611.0,38.0,310403
612.0,184.0,310403
613.0,213.0,310403
614.0,222.0,310403
615.0,484.0,310403
616.0,83.0,310403
617.0,85.0,310403
618.0,83.0,310403
619.0,10.0,310403
620.0,276.0,310403
621.0,57.0,310403
622.0,48.0,310403
623.0,32.0,310403
624.0,77.0,310403
625.0,42.0,310403
626.0,51.0,310403
627.0,33.0,310403
628.0,427.0,310403
629.0,196.0,310403
630.0,84.0,310403
901.0,294.0,310403
902.0,635.0,310403
903.0,15.0,310403
904.0,146.0,310403
905.0,152.0,310403
906.0,343.0,310403
907.0,29.0,310403
908.0,123.0,310403
909.0,343.0,310403
910.0,30.0,310403
911.0,164.0,310403
912.0,181.0,310403
913.0,395.0,310403
914.0,214.0,310403
915.0,433.0,310403
916.0,80.0,310403
917.0,-5.0,310403
918.0,157.0,310403
919.0,285.0,310403
920.0,207.0,310403
921.0,90.0,310403
922.0,130.0,310403
923.0,444.0,310403
924.0,84.0,310403
925.0,243.0,310403
926.0,274.0,310403
927.0,67.0,310403
928.0,-11.0,310403
929.0,90.0,310403
930.0,379.0,310403
31.0,377.0,310403
32.0,56.0,310403
33.0,75.0,310403
34.0,206.0,310403
35.0,423.0,310403
36.0,141.0,310403
37.0,50.0,310403
38.0,-4.0,310403
39.0,85.0,310403
40.0,45.0,310403
41.0,252.0,310403
42.0,203.0,310403
43.0,369.0,310403
44.0,137.0,310403
45.0,212.0,310403
46.0,108.0,310403
47.0,279.0,310403
48.0,259.0,310403
49.0,211.0,310403
50.0,80.0,310403
51.0,710.0,310403
52.0,81.0,310403
53.0,110.0,310403
54.0,90.0,310403
55.0,234.0,310403
56.0,134.0,310403
57.0,208.0,310403
58.0,8.0,310403
59.0,55.0,310403
60.0,139.0,310403
331.0,189.0,310403
332.0,48.0,310403
333.0,20.0,310403
334.0,39.0,310403
335.0,106.0,310403
336.0,401.0,310403
337.0,333.0,310403
338.0,241.0,310403
339.0,604.0,310403
340.0,136.0,310403
341.0,244.0,310403
342.0,115.0,310403
343.0,157.0,310403
344.0,77.0,310403
345.0,153.0,310403
346.0,49.0,310403
347.0,60.0,310403
348.0,15.0,310403
349.0,42.0,310403
350.0,108.0,310403
351.0,73.0,310403
352.0,522.0,310403
353.0,122.0,310403
354.0,94.0,310403
355.0,214.0,310403
356.0,226.0,310403
357.0,46.0,310403
358.0,523.0,310403
359.0,145.0,310403
360.0,282.0,310403
631.0,113.0,310403
632.0,231.0,310403
633.0,44.0,310403
634.0,174.0,310403
635.0,80.0,310403
636.0,138.0,310403
637.0,78.0,310403
638.0,159.0,310403
639.0,167.0,310403
640.0,24.0,310403
641.0,80.0,310403
642.0,593.0,310403
643.0,35.0,310403
644.0,341.0,310403
645.0,46.0,310403
646.0,97.0,310403
647.0,545.0,310403
648.0,16.0,310403
649.0,153.0,310403
650.0,43.0,310403
651.0,397.0,310403
652.0,241.0,310403
653.0,85.0,310403
654.0,473.0,310403
655.0,128.0,310403
656.0,45.0,310403
657.0,204.0,310403
658.0,665.0,310403
659.0,247.0,310403
660.0,143.0,310403
931.0,0.0,310403
932.0,39.0,310403
933.0,321.0,310403
934.0,35.0,310403
935.0,45.0,310403
936.0,138.0,310403
937.0,117.0,310403
938.0,217.0,310403
939.0,75.0,310403
940.0,56.0,310403
941.0,75.0,310403
942.0,661.0,310403
943.0,319.0,310403
944.0,84.0,310403
945.0,24.0,310403
946.0,349.0,310403
947.0,565.0,310403
948.0,493.0,310403
949.0,83.0,310403
950.0,505.0,310403
951.0,200.0,310403
952.0,25.0,310403
953.0,25.0,310403
61.0,533.0,310403
62.0,35.0,310403
63.0,148.0,310403
64.0,49.0,310403
65.0,58.0,310403
66.0,407.0,310403
67.0,14.0,310403
68.0,120.0,310403
69.0,71.0,310403
70.0,62.0,310403
71.0,156.0,310403
72.0,182.0,310403
73.0,112.0,310403
74.0,184.0,310403
75.0,129.0,310403
76.0,183.0,310403
77.0,236.0,310403
78.0,173.0,310403
79.0,31.0,310403
80.0,539.0,310403
81.0,273.0,310403
82.0,90.0,310403
83.0,55.0,310403
84.0,304.0,310403
85.0,115.0,310403
86.0,25.0,310403
87.0,268.0,310403
88.0,330.0,310403
89.0,290.0,310403
90.0,339.0,310403
361.0,28.0,310403
362.0,365.0,310403
363.0,124.0,310403
364.0,99.0,310403
365.0,131.0,310403
366.0,216.0,310403
367.0,49.0,310403
368.0,57.0,310403
369.0,60.0,310403
370.0,309.0,310403
371.0,69.0,310403
372.0,494.0,310403
373.0,66.0,310403
374.0,130.0,310403
375.0,22.0,310403
376.0,139.0,310403
377.0,73.0,310403
378.0,340.0,310403
379.0,249.0,310403
380.0,225.0,310403
381.0,251.0,310403
382.0,143.0,310403
383.0,189.0,310403
384.0,90.0,310403
385.0,353.0,310403
386.0,116.0,310403
387.0,39.0,310403
388.0,397.0,310403
389.0,207.0,310403
390.0,82.0,310403
661.0,27.0,310403
662.0,180.0,310403
663.0,94.0,310403
664.0,37.0,310403
665.0,339.0,310403
666.0,403.0,310403
667.0,273.0,310403
668.0,108.0,310403
669.0,116.0,310403
670.0,615.0,310403
671.0,83.0,310403
672.0,452.0,310403
673.0,599.0,310403
674.0,154.0,310403
675.0,270.0,310403
676.0,118.0,310403
677.0,192.0,310403
678.0,49.0,310403
679.0,200.0,310403
680.0,375.0,310403
681.0,94.0,310403
682.0,468.0,310403
683.0,331.0,310403
684.0,44.0,310403
685.0,50.0,310403
686.0,656.0,310403
687.0,346.0,310403
688.0,24.0,310403
689.0,34.0,310403
690.0,87.0,310403
91.0,59.0,310403
92.0,57.0,310403
93.0,155.0,310403
94.0,106.0,310403
95.0,81.0,310403
96.0,79.0,310403
97.0,147.0,310403
98.0,184.0,310403
99.0,55.0,310403
100.0,136.0,310403
101.0,183.0,310403
102.0,80.0,310403
103.0,333.0,310403
104.0,23.0,310403
105.0,217.0,310403
106.0,402.0,310403
107.0,224.0,310403
108.0,512.0,310403
109.0,110.0,310403
110.0,68.0,310403
111.0,444.0,310403
112.0,92.0,310403
113.0,45.0,310403
114.0,211.0,310403
115.0,314.0,310403
116.0,35.0,310403
117.0,90.0,310403
118.0,131.0,310403
119.0,216.0,310403
120.0,242.0,310403
391.0,147.0,310403
392.0,406.0,310403
393.0,332.0,310403
394.0,346.0,310403
395.0,88.0,310403
396.0,45.0,310403
397.0,206.0,310403
398.0,155.0,310403
399.0,85.0,310403
400.0,324.0,310403
401.0,199.0,310403
402.0,37.0,310403
403.0,228.0,310403
404.0,78.0,310403
405.0,106.0,310403
406.0,287.0,310403
407.0,20.0,310403
408.0,107.0,310403
409.0,88.0,310403
410.0,39.0,310403
411.0,138.0,310403
412.0,627.0,310403
413.0,57.0,310403
414.0,454.0,310403
415.0,104.0,310403
416.0,458.0,310403
417.0,39.0,310403
418.0,543.0,310403
419.0,262.0,310403
420.0,166.0,310403
691.0,73.0,310403
692.0,115.0,310403
693.0,33.0,310403
694.0,183.0,310403
695.0,471.0,310403
696.0,451.0,310403
697.0,57.0,310403
698.0,92.0,310403
699.0,146.0,310403
700.0,138.0,310403
701.0,110.0,310403
702.0,24.0,310403
703.0,138.0,310403
704.0,63.0,310403
705.0,273.0,310403
706.0,399.0,310403
707.0,24.0,310403
708.0,272.0,310403
709.0,153.0,310403
710.0,146.0,310403
711.0,35.0,310403
712.0,516.0,310403
713.0,156.0,310403
714.0,47.0,310403
715.0,68.0,310403
716.0,91.0,310403
717.0,92.0,310403
718.0,90.0,310403
719.0,62.0,310403
720.0,279.0,310403
121.0,58.0,310403
122.0,480.0,310403
123.0,361.0,310403
124.0,57.0,310403
125.0,141.0,310403
126.0,292.0,310403
127.0,46.0,310403
128.0,73.0,310403
129.0,293.0,310403
130.0,221.0,310403
131.0,38.0,310403
132.0,669.0,310403
133.0,397.0,310403
134.0,179.0,310403
135.0,138.0,310403
136.0,90.0,310403
137.0,360.0,310403
138.0,67.0,310403
139.0,206.0,310403
140.0,339.0,310403
141.0,64.0,310403
142.0,413.0,310403
143.0,29.0,310403
144.0,368.0,310403
145.0,84.0,310403
146.0,109.0,310403
147.0,595.0,310403
148.0,90.0,310403
149.0,466.0,310403
150.0,79.0,310403
421.0,57.0,310403
422.0,359.0,310403
423.0,448.0,310403
424.0,400.0,310403
425.0,148.0,310403
426.0,110.0,310403
427.0,70.0,310403
