Sr_no,Marks,Code
1.0,94.0,330301
2.0,87.0,330301
3.0,109.0,330301
4.0,153.0,330301
5.0,62.0,330301
6.0,51.0,330301
7.0,76.0,330301
8.0,52.0,330301
9.0,241.0,330301
10.0,399.0,330301
11.0,118.0,330301
12.0,95.0,330301
13.0,104.0,330301
14.0,131.0,330301
15.0,344.0,330301
16.0,156.0,330301
17.0,135.0,330301
18.0,37.0,330301
19.0,41.0,330301
20.0,104.0,330301
21.0,32.0,330301
22.0,70.0,330301
23.0,258.0,330301
24.0,141.0,330301
25.0,322.0,330301
26.0,-3.0,330301
27.0,190.0,330301
28.0,110.0,330301
29.0,85.0,330301
30.0,42.0,330301
31.0,124.0,330301
32.0,113.0,330301
33.0,56.0,330301
34.0,116.0,330301
35.0,96.0,330301
36.0,25.0,330301
37.0,139.0,330301
38.0,90.0,330301
39.0,219.0,330301
40.0,120.0,330301
41.0,110.0,330301
42.0,179.0,330301
43.0,63.0,330301
44.0,142.0,330301
45.0,149.0,330301
46.0,20.0,330301
47.0,110.0,330301
48.0,106.0,330301
49.0,321.0,330301
50.0,155.0,330301
51.0,-4.0,330301
52.0,169.0,330301
53.0,143.0,330301
54.0,54.0,330301
55.0,35.0,330301
56.0,111.0,330301
57.0,57.0,330301
58.0,137.0,330301
59.0,111.0,330301
60.0,264.0,330301
61.0,168.0,330301
62.0,81.0,330301
