Sr_no,Marks,Code
1.0,129.0,421701
2.0,96.0,421701
3.0,90.0,421701
4.0,269.0,421701
5.0,123.0,421701
6.0,314.0,421701
7.0,205.0,421701
8.0,504.0,421701
9.0,124.0,421701
10.0,198.0,421701
11.0,255.0,421701
12.0,115.0,421701
13.0,288.0,421701
14.0,184.0,421701
15.0,19.0,421701
16.0,385.0,421701
17.0,202.0,421701
18.0,275.0,421701
19.0,144.0,421701
20.0,75.0,421701
21.0,521.0,421701
22.0,-14.0,421701
23.0,117.0,421701
24.0,86.0,421701
25.0,206.0,421701
26.0,273.0,421701
27.0,162.0,421701
28.0,230.0,421701
29.0,337.0,421701
30.0,131.0,421701
301.0,298.0,421701
302.0,89.0,421701
303.0,372.0,421701
304.0,117.0,421701
305.0,145.0,421701
306.0,596.0,421701
307.0,479.0,421701
308.0,163.0,421701
309.0,536.0,421701
310.0,151.0,421701
311.0,30.0,421701
312.0,112.0,421701
313.0,73.0,421701
314.0,173.0,421701
315.0,103.0,421701
316.0,246.0,421701
317.0,451.0,421701
318.0,170.0,421701
319.0,90.0,421701
320.0,225.0,421701
321.0,225.0,421701
322.0,309.0,421701
323.0,32.0,421701
324.0,209.0,421701
325.0,196.0,421701
326.0,39.0,421701
327.0,597.0,421701
328.0,96.0,421701
329.0,113.0,421701
330.0,76.0,421701
31.0,280.0,421701
32.0,96.0,421701
33.0,134.0,421701
34.0,82.0,421701
35.0,345.0,421701
36.0,207.0,421701
37.0,290.0,421701
38.0,144.0,421701
39.0,420.0,421701
40.0,355.0,421701
41.0,252.0,421701
42.0,45.0,421701
43.0,226.0,421701
44.0,187.0,421701
45.0,42.0,421701
46.0,325.0,421701
47.0,43.0,421701
48.0,165.0,421701
49.0,65.0,421701
50.0,213.0,421701
51.0,113.0,421701
52.0,36.0,421701
53.0,274.0,421701
54.0,44.0,421701
55.0,162.0,421701
56.0,60.0,421701
57.0,117.0,421701
58.0,346.0,421701
59.0,248.0,421701
60.0,138.0,421701
331.0,518.0,421701
332.0,304.0,421701
333.0,38.0,421701
334.0,48.0,421701
335.0,221.0,421701
336.0,80.0,421701
337.0,-6.0,421701
338.0,400.0,421701
339.0,97.0,421701
340.0,438.0,421701
341.0,107.0,421701
342.0,81.0,421701
343.0,350.0,421701
344.0,153.0,421701
345.0,147.0,421701
346.0,83.0,421701
347.0,330.0,421701
348.0,520.0,421701
349.0,121.0,421701
350.0,134.0,421701
351.0,-6.0,421701
352.0,91.0,421701
61.0,328.0,421701
62.0,80.0,421701
63.0,153.0,421701
64.0,293.0,421701
65.0,263.0,421701
66.0,72.0,421701
67.0,98.0,421701
68.0,153.0,421701
69.0,610.0,421701
70.0,91.0,421701
71.0,65.0,421701
72.0,125.0,421701
73.0,151.0,421701
74.0,409.0,421701
75.0,149.0,421701
76.0,169.0,421701
77.0,168.0,421701
78.0,338.0,421701
79.0,137.0,421701
80.0,216.0,421701
81.0,26.0,421701
82.0,296.0,421701
83.0,266.0,421701
84.0,66.0,421701
85.0,308.0,421701
86.0,70.0,421701
87.0,392.0,421701
88.0,40.0,421701
89.0,92.0,421701
90.0,144.0,421701
91.0,170.0,421701
92.0,263.0,421701
93.0,363.0,421701
94.0,173.0,421701
95.0,239.0,421701
96.0,492.0,421701
97.0,99.0,421701
98.0,331.0,421701
99.0,428.0,421701
100.0,188.0,421701
101.0,141.0,421701
102.0,357.0,421701
103.0,108.0,421701
104.0,48.0,421701
105.0,185.0,421701
106.0,130.0,421701
107.0,170.0,421701
108.0,259.0,421701
109.0,296.0,421701
110.0,143.0,421701
111.0,193.0,421701
112.0,70.0,421701
113.0,145.0,421701
114.0,65.0,421701
115.0,150.0,421701
116.0,69.0,421701
117.0,110.0,421701
118.0,15.0,421701
119.0,252.0,421701
120.0,38.0,421701
121.0,128.0,421701
122.0,-1.0,421701
123.0,339.0,421701
124.0,357.0,421701
125.0,236.0,421701
126.0,554.0,421701
127.0,101.0,421701
128.0,135.0,421701
129.0,368.0,421701
130.0,96.0,421701
131.0,349.0,421701
132.0,30.0,421701
133.0,85.0,421701
134.0,134.0,421701
135.0,344.0,421701
136.0,87.0,421701
137.0,110.0,421701
138.0,399.0,421701
139.0,497.0,421701
140.0,63.0,421701
141.0,344.0,421701
142.0,72.0,421701
143.0,56.0,421701
144.0,398.0,421701
145.0,105.0,421701
146.0,205.0,421701
147.0,117.0,421701
148.0,422.0,421701
149.0,169.0,421701
150.0,145.0,421701
151.0,79.0,421701
152.0,143.0,421701
153.0,48.0,421701
154.0,448.0,421701
155.0,86.0,421701
156.0,437.0,421701
157.0,100.0,421701
158.0,76.0,421701
159.0,50.0,421701
160.0,123.0,421701
161.0,53.0,421701
162.0,274.0,421701
163.0,321.0,421701
164.0,41.0,421701
165.0,68.0,421701
166.0,511.0,421701
167.0,127.0,421701
168.0,278.0,421701
169.0,136.0,421701
170.0,279.0,421701
171.0,346.0,421701
172.0,303.0,421701
173.0,191.0,421701
174.0,40.0,421701
175.0,81.0,421701
176.0,301.0,421701
177.0,178.0,421701
178.0,75.0,421701
179.0,419.0,421701
180.0,335.0,421701
181.0,144.0,421701
182.0,158.0,421701
183.0,218.0,421701
184.0,95.0,421701
185.0,25.0,421701
186.0,139.0,421701
187.0,83.0,421701
188.0,322.0,421701
189.0,86.0,421701
190.0,72.0,421701
191.0,53.0,421701
192.0,237.0,421701
193.0,78.0,421701
194.0,132.0,421701
195.0,156.0,421701
196.0,161.0,421701
197.0,190.0,421701
198.0,115.0,421701
199.0,410.0,421701
200.0,387.0,421701
201.0,439.0,421701
202.0,255.0,421701
203.0,116.0,421701
204.0,120.0,421701
205.0,75.0,421701
206.0,207.0,421701
207.0,458.0,421701
208.0,341.0,421701
209.0,196.0,421701
210.0,148.0,421701
211.0,25.0,421701
212.0,56.0,421701
213.0,94.0,421701
214.0,122.0,421701
215.0,655.0,421701
216.0,188.0,421701
217.0,263.0,421701
218.0,72.0,421701
219.0,422.0,421701
220.0,162.0,421701
221.0,616.0,421701
222.0,140.0,421701
223.0,400.0,421701
224.0,321.0,421701
225.0,112.0,421701
226.0,320.0,421701
227.0,19.0,421701
228.0,43.0,421701
229.0,444.0,421701
230.0,336.0,421701
231.0,62.0,421701
232.0,114.0,421701
233.0,406.0,421701
234.0,113.0,421701
235.0,225.0,421701
236.0,160.0,421701
237.0,143.0,421701
238.0,301.0,421701
239.0,392.0,421701
240.0,141.0,421701
241.0,266.0,421701
242.0,285.0,421701
243.0,95.0,421701
244.0,33.0,421701
245.0,376.0,421701
246.0,482.0,421701
247.0,90.0,421701
248.0,63.0,421701
249.0,424.0,421701
250.0,108.0,421701
251.0,183.0,421701
252.0,364.0,421701
253.0,184.0,421701
254.0,369.0,421701
