Sr_no,Marks,Code
1.0,301.0,140227
2.0,141.0,140227
3.0,92.0,140227
4.0,20.0,140227
5.0,297.0,140227
6.0,40.0,140227
7.0,101.0,140227
8.0,395.0,140227
9.0,115.0,140227
10.0,125.0,140227
11.0,96.0,140227
12.0,159.0,140227
13.0,169.0,140227
14.0,176.0,140227
15.0,100.0,140227
16.0,74.0,140227
17.0,69.0,140227
18.0,89.0,140227
19.0,144.0,140227
20.0,87.0,140227
21.0,540.0,140227
22.0,31.0,140227
23.0,83.0,140227
24.0,136.0,140227
25.0,-14.0,140227
26.0,35.0,140227
27.0,251.0,140227
28.0,260.0,140227
29.0,59.0,140227
30.0,160.0,140227
31.0,204.0,140227
32.0,28.0,140227
33.0,353.0,140227
34.0,57.0,140227
35.0,37.0,140227
36.0,58.0,140227
37.0,59.0,140227
38.0,100.0,140227
39.0,40.0,140227
40.0,352.0,140227
41.0,99.0,140227
42.0,18.0,140227
43.0,195.0,140227
44.0,105.0,140227
45.0,75.0,140227
46.0,453.0,140227
47.0,71.0,140227
48.0,40.0,140227
49.0,117.0,140227
50.0,114.0,140227
51.0,594.0,140227
52.0,165.0,140227
53.0,60.0,140227
54.0,60.0,140227
55.0,30.0,140227
56.0,237.0,140227
57.0,78.0,140227
58.0,20.0,140227
59.0,57.0,140227
60.0,111.0,140227
61.0,216.0,140227
62.0,29.0,140227
63.0,73.0,140227
64.0,160.0,140227
65.0,89.0,140227
66.0,103.0,140227
67.0,42.0,140227
68.0,25.0,140227
69.0,11.0,140227
70.0,1.0,140227
71.0,78.0,140227
72.0,230.0,140227
73.0,30.0,140227
74.0,221.0,140227
75.0,70.0,140227
76.0,71.0,140227
77.0,126.0,140227
78.0,-4.0,140227
79.0,68.0,140227
80.0,338.0,140227
81.0,143.0,140227
82.0,31.0,140227
83.0,80.0,140227
84.0,83.0,140227
85.0,105.0,140227
86.0,55.0,140227
87.0,90.0,140227
88.0,15.0,140227
89.0,322.0,140227
90.0,95.0,140227
91.0,20.0,140227
92.0,60.0,140227
93.0,140.0,140227
94.0,123.0,140227
95.0,48.0,140227
96.0,145.0,140227
97.0,70.0,140227
98.0,80.0,140227
99.0,194.0,140227
100.0,80.0,140227
101.0,107.0,140227
102.0,139.0,140227
103.0,84.0,140227
104.0,105.0,140227
105.0,55.0,140227
106.0,8.0,140227
107.0,385.0,140227
108.0,115.0,140227
