Sr_no,Marks,Code
1.0,221.0,392321
2.0,424.0,392321
3.0,74.0,392321
4.0,313.0,392321
5.0,499.0,392321
6.0,172.0,392321
7.0,496.0,392321
8.0,142.0,392321
9.0,96.0,392321
10.0,217.0,392321
11.0,384.0,392321
12.0,495.0,392321
13.0,605.0,392321
14.0,475.0,392321
15.0,393.0,392321
16.0,374.0,392321
17.0,493.0,392321
18.0,671.0,392321
19.0,219.0,392321
20.0,444.0,392321
21.0,618.0,392321
22.0,85.0,392321
23.0,473.0,392321
24.0,320.0,392321
25.0,592.0,392321
26.0,276.0,392321
27.0,314.0,392321
28.0,320.0,392321
29.0,444.0,392321
30.0,479.0,392321
301.0,524.0,392321
302.0,179.0,392321
303.0,370.0,392321
304.0,420.0,392321
305.0,353.0,392321
306.0,633.0,392321
307.0,217.0,392321
308.0,553.0,392321
309.0,330.0,392321
310.0,62.0,392321
311.0,213.0,392321
312.0,132.0,392321
313.0,618.0,392321
314.0,346.0,392321
315.0,55.0,392321
316.0,124.0,392321
317.0,666.0,392321
318.0,465.0,392321
319.0,162.0,392321
320.0,274.0,392321
321.0,214.0,392321
322.0,583.0,392321
323.0,560.0,392321
324.0,443.0,392321
325.0,84.0,392321
326.0,348.0,392321
327.0,440.0,392321
328.0,657.0,392321
329.0,696.0,392321
330.0,316.0,392321
31.0,395.0,392321
32.0,239.0,392321
33.0,666.0,392321
34.0,629.0,392321
35.0,535.0,392321
36.0,339.0,392321
37.0,52.0,392321
38.0,229.0,392321
39.0,270.0,392321
40.0,401.0,392321
41.0,425.0,392321
42.0,489.0,392321
43.0,262.0,392321
44.0,482.0,392321
45.0,650.0,392321
46.0,321.0,392321
47.0,484.0,392321
48.0,690.0,392321
49.0,165.0,392321
50.0,456.0,392321
51.0,56.0,392321
52.0,432.0,392321
53.0,145.0,392321
54.0,599.0,392321
55.0,78.0,392321
56.0,78.0,392321
57.0,585.0,392321
58.0,364.0,392321
59.0,167.0,392321
60.0,140.0,392321
331.0,640.0,392321
332.0,458.0,392321
333.0,324.0,392321
334.0,676.0,392321
335.0,189.0,392321
336.0,695.0,392321
337.0,280.0,392321
338.0,521.0,392321
339.0,178.0,392321
340.0,670.0,392321
341.0,693.0,392321
342.0,616.0,392321
343.0,50.0,392321
344.0,332.0,392321
345.0,70.0,392321
346.0,550.0,392321
347.0,58.0,392321
348.0,536.0,392321
349.0,90.0,392321
350.0,384.0,392321
351.0,439.0,392321
352.0,335.0,392321
353.0,497.0,392321
354.0,399.0,392321
355.0,472.0,392321
356.0,304.0,392321
357.0,640.0,392321
358.0,269.0,392321
359.0,572.0,392321
360.0,230.0,392321
61.0,220.0,392321
62.0,171.0,392321
63.0,243.0,392321
64.0,240.0,392321
65.0,616.0,392321
66.0,446.0,392321
67.0,615.0,392321
68.0,557.0,392321
69.0,466.0,392321
70.0,594.0,392321
71.0,304.0,392321
72.0,251.0,392321
73.0,351.0,392321
74.0,422.0,392321
75.0,651.0,392321
76.0,265.0,392321
77.0,247.0,392321
78.0,375.0,392321
79.0,605.0,392321
80.0,170.0,392321
81.0,211.0,392321
82.0,145.0,392321
83.0,300.0,392321
84.0,326.0,392321
85.0,664.0,392321
86.0,690.0,392321
87.0,98.0,392321
88.0,575.0,392321
89.0,705.0,392321
90.0,434.0,392321
361.0,326.0,392321
362.0,396.0,392321
363.0,203.0,392321
364.0,171.0,392321
365.0,165.0,392321
366.0,444.0,392321
367.0,102.0,392321
368.0,55.0,392321
369.0,28.0,392321
370.0,170.0,392321
371.0,418.0,392321
372.0,674.0,392321
373.0,331.0,392321
374.0,626.0,392321
375.0,41.0,392321
376.0,415.0,392321
377.0,99.0,392321
378.0,381.0,392321
379.0,182.0,392321
380.0,352.0,392321
381.0,637.0,392321
382.0,385.0,392321
383.0,189.0,392321
384.0,660.0,392321
385.0,218.0,392321
386.0,303.0,392321
387.0,271.0,392321
388.0,80.0,392321
389.0,121.0,392321
390.0,235.0,392321
91.0,556.0,392321
92.0,296.0,392321
93.0,532.0,392321
94.0,67.0,392321
95.0,109.0,392321
96.0,405.0,392321
97.0,631.0,392321
98.0,368.0,392321
99.0,456.0,392321
100.0,320.0,392321
101.0,123.0,392321
102.0,220.0,392321
103.0,297.0,392321
104.0,458.0,392321
105.0,180.0,392321
106.0,185.0,392321
107.0,627.0,392321
108.0,583.0,392321
109.0,537.0,392321
110.0,64.0,392321
111.0,156.0,392321
112.0,195.0,392321
113.0,628.0,392321
114.0,63.0,392321
115.0,25.0,392321
116.0,226.0,392321
117.0,557.0,392321
118.0,131.0,392321
119.0,465.0,392321
120.0,529.0,392321
391.0,71.0,392321
392.0,222.0,392321
393.0,321.0,392321
394.0,596.0,392321
395.0,637.0,392321
396.0,626.0,392321
397.0,503.0,392321
398.0,279.0,392321
399.0,560.0,392321
400.0,480.0,392321
401.0,398.0,392321
402.0,613.0,392321
403.0,85.0,392321
404.0,115.0,392321
405.0,670.0,392321
406.0,277.0,392321
407.0,205.0,392321
408.0,151.0,392321
409.0,344.0,392321
410.0,198.0,392321
411.0,464.0,392321
412.0,149.0,392321
413.0,173.0,392321
414.0,512.0,392321
415.0,84.0,392321
416.0,116.0,392321
417.0,385.0,392321
418.0,192.0,392321
419.0,615.0,392321
420.0,66.0,392321
121.0,119.0,392321
122.0,523.0,392321
123.0,635.0,392321
124.0,177.0,392321
125.0,715.0,392321
126.0,302.0,392321
127.0,414.0,392321
128.0,617.0,392321
129.0,612.0,392321
130.0,480.0,392321
131.0,252.0,392321
132.0,456.0,392321
133.0,621.0,392321
134.0,657.0,392321
135.0,690.0,392321
136.0,484.0,392321
137.0,301.0,392321
138.0,203.0,392321
139.0,525.0,392321
140.0,658.0,392321
141.0,451.0,392321
142.0,376.0,392321
143.0,514.0,392321
144.0,498.0,392321
145.0,609.0,392321
146.0,191.0,392321
147.0,205.0,392321
148.0,300.0,392321
149.0,383.0,392321
150.0,197.0,392321
421.0,199.0,392321
422.0,432.0,392321
423.0,157.0,392321
424.0,74.0,392321
425.0,260.0,392321
426.0,620.0,392321
427.0,216.0,392321
428.0,290.0,392321
429.0,270.0,392321
430.0,222.0,392321
431.0,595.0,392321
432.0,121.0,392321
433.0,594.0,392321
434.0,610.0,392321
435.0,405.0,392321
436.0,312.0,392321
437.0,192.0,392321
438.0,307.0,392321
439.0,384.0,392321
440.0,484.0,392321
441.0,451.0,392321
442.0,485.0,392321
443.0,542.0,392321
444.0,442.0,392321
445.0,560.0,392321
446.0,42.0,392321
447.0,522.0,392321
448.0,294.0,392321
449.0,539.0,392321
450.0,601.0,392321
151.0,527.0,392321
152.0,275.0,392321
153.0,665.0,392321
154.0,695.0,392321
155.0,247.0,392321
156.0,132.0,392321
157.0,467.0,392321
158.0,221.0,392321
159.0,260.0,392321
160.0,656.0,392321
161.0,96.0,392321
162.0,463.0,392321
163.0,674.0,392321
164.0,645.0,392321
165.0,590.0,392321
166.0,510.0,392321
167.0,359.0,392321
168.0,367.0,392321
169.0,227.0,392321
170.0,642.0,392321
171.0,88.0,392321
172.0,85.0,392321
173.0,267.0,392321
174.0,351.0,392321
175.0,336.0,392321
176.0,626.0,392321
177.0,135.0,392321
178.0,621.0,392321
179.0,452.0,392321
180.0,546.0,392321
451.0,255.0,392321
452.0,550.0,392321
453.0,600.0,392321
454.0,482.0,392321
455.0,217.0,392321
456.0,320.0,392321
457.0,520.0,392321
458.0,17.0,392321
459.0,459.0,392321
460.0,351.0,392321
461.0,535.0,392321
462.0,67.0,392321
463.0,538.0,392321
464.0,292.0,392321
465.0,124.0,392321
466.0,556.0,392321
467.0,129.0,392321
468.0,188.0,392321
469.0,245.0,392321
470.0,656.0,392321
471.0,414.0,392321
472.0,681.0,392321
473.0,434.0,392321
474.0,354.0,392321
475.0,665.0,392321
476.0,203.0,392321
477.0,638.0,392321
478.0,305.0,392321
479.0,610.0,392321
480.0,324.0,392321
181.0,217.0,392321
182.0,617.0,392321
183.0,490.0,392321
184.0,562.0,392321
185.0,316.0,392321
186.0,685.0,392321
187.0,705.0,392321
188.0,245.0,392321
189.0,484.0,392321
190.0,535.0,392321
191.0,183.0,392321
192.0,548.0,392321
193.0,641.0,392321
194.0,218.0,392321
195.0,491.0,392321
196.0,414.0,392321
197.0,600.0,392321
198.0,249.0,392321
199.0,263.0,392321
200.0,386.0,392321
201.0,109.0,392321
202.0,632.0,392321
203.0,441.0,392321
204.0,251.0,392321
205.0,646.0,392321
206.0,640.0,392321
207.0,201.0,392321
208.0,288.0,392321
209.0,103.0,392321
210.0,397.0,392321
481.0,489.0,392321
482.0,25.0,392321
483.0,582.0,392321
484.0,80.0,392321
485.0,690.0,392321
486.0,493.0,392321
487.0,219.0,392321
488.0,-1.0,392321
489.0,560.0,392321
490.0,602.0,392321
491.0,245.0,392321
492.0,280.0,392321
493.0,85.0,392321
494.0,463.0,392321
495.0,362.0,392321
496.0,536.0,392321
497.0,443.0,392321
498.0,202.0,392321
499.0,513.0,392321
500.0,254.0,392321
211.0,630.0,392321
212.0,474.0,392321
213.0,356.0,392321
214.0,342.0,392321
215.0,52.0,392321
216.0,590.0,392321
217.0,700.0,392321
218.0,299.0,392321
219.0,381.0,392321
220.0,337.0,392321
221.0,86.0,392321
222.0,286.0,392321
