Sr_no,Marks,Code
1,400,251003
2,78,251003
3,205,251003
4,135,251003
5,93,251003
6,275,251003
7,101,251003
8,367,251003
9,125,251003
10,85,251003
11,495,251003
12,226,251003
13,47,251003
14,511,251003
15,366,251003
16,201,251003
17,106,251003
18,333,251003
19,171,251003
20,289,251003
21,0,251003
22,188,251003
23,139,251003
24,79,251003
25,362,251003
26,214,251003
27,246,251003
28,294,251003
29,43,251003
30,179,251003
31,390,251003
32,69,251003
33,463,251003
34,111,251003
35,479,251003
36,302,251003
37,270,251003
38,537,251003
39,30,251003
40,410,251003
41,381,251003
42,102,251003
43,547,251003
44,211,251003
45,255,251003
46,586,251003
47,436,251003
48,112,251003
49,517,251003
50,266,251003
51,575,251003
52,134,251003
53,246,251003
54,163,251003
55,80,251003
56,254,251003
57,82,251003
58,82,251003
59,28,251003
60,504,251003
61,27,251003
62,25,251003
63,466,251003
64,57,251003
65,425,251003
66,218,251003
67,311,251003
68,65,251003
69,234,251003
70,264,251003
71,306,251003
72,65,251003
73,522,251003
74,171,251003
75,121,251003
76,72,251003
77,651,251003
78,127,251003
79,505,251003
80,140,251003
81,398,251003
82,0,251003
83,173,251003
84,83,251003
85,87,251003
86,104,251003
87,260,251003
88,293,251003
89,313,251003
90,501,251003
91,184,251003
92,185,251003
93,680,251003
94,65,251003
95,75,251003
96,288,251003
97,99,251003
98,158,251003
99,310,251003
100,164,251003
101,454,251003
102,108,251003
103,89,251003
104,326,251003
105,89,251003
106,170,251003
107,194,251003
108,482,251003
109,100,251003
110,116,251003
111,608,251003
112,118,251003
113,67,251003
114,198,251003
115,111,251003
116,224,251003
117,116,251003
118,143,251003
119,66,251003
120,100,251003
121,346,251003
122,68,251003
123,386,251003
124,65,251003
125,407,251003
126,16,251003
127,310,251003
128,187,251003
129,55,251003
130,90,251003
131,370,251003
132,417,251003
133,548,251003
134,237,251003
135,155,251003
136,95,251003
137,261,251003
138,150,251003
139,101,251003
140,133,251003
141,263,251003
142,64,251003
143,281,251003
144,207,251003
145,162,251003
146,97,251003
147,210,251003
148,219,251003
149,172,251003
150,142,251003
151,72,251003
152,106,251003
153,161,251003
154,449,251003
155,143,251003
156,565,251003
157,57,251003
158,139,251003
159,75,251003
160,123,251003
161,241,251003
162,320,251003
163,138,251003
164,239,251003
165,34,251003
166,114,251003
167,501,251003
168,74,251003
169,306,251003
170,43,251003
171,242,251003
172,55,251003
173,163,251003
174,183,251003
175,108,251003
176,102,251003
177,486,251003
178,80,251003
179,132,251003
180,428,251003
181,79,251003
182,223,251003
183,643,251003
184,112,251003
185,492,251003
186,299,251003
187,249,251003
188,270,251003
189,236,251003
190,315,251003
191,279,251003
192,72,251003
193,75,251003
194,85,251003
195,30,251003
196,110,251003
197,357,251003
198,130,251003
199,295,251003
200,70,251003
201,76,251003
202,119,251003
203,131,251003
204,219,251003
205,342,251003
206,232,251003
207,180,251003
208,338,251003
209,497,251003
210,405,251003
211,176,251003
212,135,251003
213,333,251003
214,319,251003
215,103,251003
216,316,251003
217,201,251003
218,150,251003
219,121,251003
220,172,251003
221,84,251003
222,433,251003
223,305,251003
224,451,251003
225,264,251003
226,264,251003
227,48,251003
228,269,251003
229,110,251003
230,377,251003
231,118,251003
232,185,251003
233,65,251003
234,40,251003
235,506,251003
236,73,251003
237,86,251003
238,110,251003
239,104,251003
240,245,251003
241,309,251003
242,67,251003
243,175,251003
244,176,251003
245,381,251003
246,591,251003
247,303,251003
248,151,251003
249,304,251003
250,82,251003
251,135,251003
252,81,251003
253,173,251003
254,55,251003
255,136,251003
256,298,251003
257,200,251003
258,220,251003
259,278,251003
260,144,251003
261,182,251003
262,330,251003
263,36,251003
264,491,251003
265,57,251003
266,337,251003
267,213,251003
268,118,251003
269,212,251003
270,385,251003
271,62,251003
272,562,251003
273,185,251003
274,204,251003
275,300,251003
276,141,251003
277,44,251003
278,105,251003
279,45,251003
280,85,251003
281,205,251003
282,96,251003
283,-1,251003
284,494,251003
285,254,251003
286,634,251003
287,64,251003
288,364,251003
289,165,251003
290,164,251003
291,283,251003
292,95,251003
293,185,251003
294,546,251003
295,5,251003
296,252,251003
297,283,251003
298,97,251003
299,260,251003
300,414,251003
