Sr_no,Marks,Code
1.0,488.0,221102
2.0,239.0,221102
3.0,653.0,221102
4.0,191.0,221102
5.0,153.0,221102
6.0,42.0,221102
7.0,512.0,221102
8.0,454.0,221102
9.0,122.0,221102
10.0,380.0,221102
11.0,189.0,221102
12.0,441.0,221102
13.0,515.0,221102
14.0,422.0,221102
15.0,358.0,221102
16.0,568.0,221102
17.0,107.0,221102
18.0,202.0,221102
19.0,130.0,221102
20.0,221.0,221102
21.0,144.0,221102
22.0,279.0,221102
23.0,175.0,221102
24.0,265.0,221102
25.0,375.0,221102
26.0,212.0,221102
27.0,65.0,221102
28.0,260.0,221102
29.0,260.0,221102
30.0,315.0,221102
31.0,186.0,221102
32.0,239.0,221102
33.0,207.0,221102
34.0,202.0,221102
35.0,505.0,221102
36.0,238.0,221102
37.0,113.0,221102
38.0,334.0,221102
39.0,382.0,221102
40.0,117.0,221102
41.0,94.0,221102
42.0,152.0,221102
43.0,155.0,221102
44.0,165.0,221102
45.0,130.0,221102
46.0,333.0,221102
47.0,38.0,221102
48.0,105.0,221102
49.0,522.0,221102
50.0,110.0,221102
51.0,495.0,221102
52.0,176.0,221102
53.0,376.0,221102
54.0,175.0,221102
55.0,206.0,221102
56.0,300.0,221102
57.0,424.0,221102
58.0,88.0,221102
59.0,152.0,221102
60.0,140.0,221102
61.0,465.0,221102
62.0,56.0,221102
63.0,272.0,221102
64.0,148.0,221102
65.0,581.0,221102
66.0,264.0,221102
67.0,559.0,221102
68.0,234.0,221102
69.0,276.0,221102
70.0,142.0,221102
71.0,153.0,221102
72.0,440.0,221102
73.0,484.0,221102
74.0,357.0,221102
75.0,89.0,221102
76.0,85.0,221102
77.0,656.0,221102
78.0,277.0,221102
79.0,191.0,221102
80.0,520.0,221102
81.0,90.0,221102
82.0,104.0,221102
83.0,526.0,221102
84.0,302.0,221102
85.0,537.0,221102
86.0,96.0,221102
87.0,655.0,221102
88.0,331.0,221102
89.0,124.0,221102
90.0,349.0,221102
91.0,120.0,221102
92.0,70.0,221102
93.0,94.0,221102
94.0,135.0,221102
95.0,523.0,221102
96.0,370.0,221102
97.0,116.0,221102
98.0,508.0,221102
99.0,325.0,221102
100.0,230.0,221102
101.0,134.0,221102
102.0,553.0,221102
103.0,266.0,221102
104.0,452.0,221102
105.0,120.0,221102
106.0,418.0,221102
107.0,416.0,221102
108.0,336.0,221102
109.0,216.0,221102
110.0,218.0,221102
111.0,103.0,221102
112.0,147.0,221102
113.0,332.0,221102
114.0,128.0,221102
115.0,374.0,221102
116.0,512.0,221102
117.0,291.0,221102
118.0,457.0,221102
119.0,84.0,221102
120.0,416.0,221102
121.0,444.0,221102
122.0,95.0,221102
123.0,145.0,221102
124.0,166.0,221102
125.0,164.0,221102
126.0,469.0,221102
127.0,529.0,221102
128.0,277.0,221102
129.0,259.0,221102
130.0,156.0,221102
131.0,542.0,221102
132.0,160.0,221102
133.0,506.0,221102
134.0,513.0,221102
135.0,152.0,221102
136.0,113.0,221102
137.0,230.0,221102
138.0,117.0,221102
139.0,437.0,221102
140.0,189.0,221102
141.0,167.0,221102
142.0,331.0,221102
143.0,637.0,221102
144.0,167.0,221102
145.0,318.0,221102
146.0,259.0,221102
147.0,168.0,221102
148.0,177.0,221102
149.0,108.0,221102
150.0,106.0,221102
151.0,308.0,221102
152.0,116.0,221102
153.0,114.0,221102
154.0,270.0,221102
155.0,423.0,221102
156.0,442.0,221102
157.0,572.0,221102
158.0,177.0,221102
159.0,62.0,221102
160.0,325.0,221102
161.0,16.0,221102
162.0,328.0,221102
163.0,134.0,221102
164.0,136.0,221102
165.0,219.0,221102
166.0,187.0,221102
167.0,391.0,221102
168.0,536.0,221102
169.0,50.0,221102
170.0,640.0,221102
171.0,265.0,221102
172.0,174.0,221102
173.0,201.0,221102
174.0,384.0,221102
175.0,118.0,221102
176.0,573.0,221102
177.0,578.0,221102
178.0,398.0,221102
179.0,458.0,221102
180.0,109.0,221102
181.0,145.0,221102
182.0,335.0,221102
183.0,65.0,221102
184.0,309.0,221102
185.0,334.0,221102
186.0,127.0,221102
187.0,186.0,221102
188.0,148.0,221102
189.0,132.0,221102
190.0,197.0,221102
191.0,167.0,221102
192.0,100.0,221102
193.0,347.0,221102
194.0,230.0,221102
195.0,571.0,221102
196.0,174.0,221102
197.0,87.0,221102
198.0,495.0,221102
199.0,176.0,221102
200.0,331.0,221102
201.0,139.0,221102
202.0,304.0,221102
203.0,296.0,221102
204.0,411.0,221102
205.0,65.0,221102
206.0,99.0,221102
207.0,182.0,221102
